aachen	a khen
kierkegaard	ki ếc cơ gốt
kiev	ki ép
kikuyu	ki quyn
kilimandjaro	ki li man gia rô
kinabalu	ki na ba lu
king	kinh
kingston	kinh xờ tơn
kinshasa	kin sa xa
kira	ki ra
kirchner	kiếc nơ
kirenga	ki ren ga
kirensk	ki ren sờ cơ
kirill	ki rin
kiriroom	ki ri rum
kirovabad	ki rô va bát
kirovakan	ki rô va kan
kishinjov	ki sin giốp
kishna	ki sờ na
kissinger	kít sin gơ
kistna	kít na
kisumu	ki xu mi
kitoj	ki tôi
kitwe	ki tuê
kizilirmak	ca gia lơ mắc
klajpeda	cờ lai bê đa
klapheck	cờ láp hếch
klee	cờ lê
kleist	cờ lai sờ tờ
klejn	cờ lê in
klitias	cờ li ti át
kljuchi	cờ liu chi
knies	cờ ni sờ
knossos	cờ nô xốt
koblenz	cô bờ len xơ
kobylin	cô bư lin
kocher	cô sê
kodiak	cô đi ắc
kokaral	cô ca ran
kola	cô la
kolamkotta	cô lam cốt ta
kolchak	côn chác
kolguev	côn gu ép
kolhid	côn khít
kolmogorov	côn mô gô rốp
kolnit	côn nít
kolwezi	côn que gi
kolyma	cô ly ma
komandorskie	cô man đô sờ ki
komoe	cô mô ê
kompong	com bông
konpon	con bon
koobi	cô bi
kooning	cu ninh
kopavogur	cô ba vô gua
kopet	cô bét
kopetdag	cô bét đắc
koppernick	cô béc ních
koppers	cáp bơ
korap	cô ráp
korat	cô rát
korjinskij	cót gin sờ ki
korlsen	cót sen
kosala	kô xa la
kosi	cô si
kosrae	cô xờ ra ê
koster	cốt sờ tơ
kota	cô ta
kouilou	cui lu
kourou	cu ru
koussi	cu xi
kovalevskaja	cô va lép sờ ca gia
kovalevskij	cô va lép sờ ki
kpelle	khờ bê lê
kra	cờ ra
krasnoj	cờ rát xờ nôi
krasnojarsk	cờ rát xờ nô giắc
krebs	cờ rép xờ
krein	cờ rê in
krishna	cờ rít na
krisna	cờ ri xờ na
kristiansen	cờ ri xờ ti an xen
kritajasa	cờ ri ta gia sa
kritias	cờ ri ti át
krivoj	cờ ri vôi
kru	cờ ru
kruchinina	cờ ru chi ni na
krupp	cờ rúp
krym	cờ rim
kuala	cua la
kuban	cu ban
kuhn	cun
kuku	cu cu
kulikovo	cu li cô vô
kuljab	cu li áp
kulpe	cun bơ
kumo	cu mô
kunsan	cun san
kura	cu ra
kurgan	cua gan
kuril	cu rin
kurosawa	cu rô sa qua
kurpinskij	cu rờ bin sờ ki
kutaisi	cu tai si
kutuzov	cu tu giốp
kuzneckij	cu giơ nê sờ ki
kuznets	cu giơ nét
kyrgyz	ki a ghi giơ
kyrgyzstan	ki a ghít tan
kyushu	kiu su
kyzyl	ki gian
labrador	la bờ ra đô
lacan	la căng
ladoga	la đô ga
lae	la ê
laffite	la phít
lafontaine	la phông ten
lagash	la ga sờ
lagrange	la răng
lahore	la ho
lake	lếch
lalitpur	la lít bua
lallemand	la lơ man
lama	la ma
lamartine	la mác tin
lambert	lam bớt
land	len
landau	lan đao
lando	lan đô
langlois	lăng lo i
lanjuinais	len giuy nê
lanka	lan ca
lansdale	len sờ đên
lanshan	lan san
lapicque	la bích
laplace	la phờ lây
laptev	láp tép
larnaca	lác na ca
lartet	lác tê
las	lát
lascaux	lát sờ cô
laspeyres	lát sờ bây rét
lassalle	la xan
lastman	la xờ tơ man
laurasia	lau ra di a
laurencia	lau ren xi a
lautoka	lau tô ca
lautrec	lô tơ réc
lavoir	la vo a
lavrov	láp rốp
lavrovskij	láp rốp sờ ki
lawrence	lo ren xơ
lazarev	la gia rép
lazarsfeld	la giát phen đơ
lazdinaj	lát đi nai
le	le
leakey	li ki
lebesgue	lơ bét sờ
lebrun	lê bờ rân
lecocq	lơ cốc
lederman	lê đơ men
legien	lê gin
lehmbruck	lem bờ rúc
leipzig	lép gích
lemeshev	lê mê sép
lena	lê na
lenard	lê nác
leningrad	lê nin gờ rát
lenkoran	len cô ran
lennuyeux	len nuy ơ
leon	lê ông
leonardo	lê ô nác đô
leonidov	lê ô ni đốp
leopardi	lê ô bác đi
lepeshinskaja	lê bê sin sờ ca gia
lepidus	lê bi đút
leriche	lơ rích sơ
leroy	li roi
leskien	lét sờ kin
lessing	lê xinh
leste	lét tơ
lev	lép
levickij	lê vi xờ ki
levin	lê vin
lewis	li quýt
leyde	lây đơ
leyte	lây tờ
liang	li ang
liaodong	liêu đông
liban	li băng
liben	li ben
libreville	li bờ rơ vin
libye	li bi
liepaja	li ê bai a
liezi	li gi
liguria	li gu ri a
lille	lin
lima	li ma
limoges	li mô gét sờ
limpopo	lim bô bô
lincoln	lin côn
lindanise	lin đa nít sờ
lindemann	lin đơ man
lindenmann	lin đen men
lindgren	lin gờ ren
line	lai nơ
linggadjati	lin ga gia ti
lingwu	linh gu
linton	lin tơn
linz	lin xơ
lipchitz	líp sít
lipmann	líp man
lippi	líp bi
lippold	líp bôn
lisboa	lít sờ bo a
lishan	li san
lisickij	li xít xờ ki
lisle	lít lơ
liszt	lít sờ tơ
live	li vơ
liverpool	li vơ bun
livonia	li vô ni a
ljapunov	li a bu nốp
ljudmila	lút mi la
lobnor	lốp no
lobos	lô bốt
locarno	lô các nô
loire	lo rờ
lolejt	lô lây tơ
lolland	lon lan
lollobrigida	lô lô bờ ri ghi đa
lomonosov	lô mô nô xốp
london	luân đôn
longa	lôn ga
longin	long gin
loos	lô ốt
lopburi	lốp bu ri
lope	lóp
lorentz	lo ren xơ
lorenzo	lo ren giô
lorrain	lo ren
lorraine	lo ren
lourdes	lua đét sờ
louveciennes	lu vơ xi en nét
luanda	lu an đa
luang	luông
luba	lu ba
lubango	lu ban gu
lubumbashi	lu bum ba si
lucasiewicz	lu ca si ê vích
luce	lu xơ
lucerne	lu xéc nơ
lucia	lu xi a
lucknow	lấc nao
lucky	lắc ki
luhyar	lu da
luigi	lui gi
lukacs	lu các
lukuga	lu cu ga
lumumba	lu mum ba
lunda	lun đa
lunokhod	lu nô khốt
luo	lu ô
luos	lu ốt
lusaka	lu xa ka
lutoslawski	lu tô xờ láp xờ ki
luxembourg	lu xem bua
lyell	lay eo
lyon	li ông
lysippe	li xíp
maas	ma sờ
macdonald	mác đô nan
macedoine	ma kê đô ni a
machiavelli	ma ki a ve li
maclaurin	mác lô rin
macmillan	mác mi lan
madang	ma đang
maddox	ma đốc
madeira	ma đây ra
madinat	ma đi nát
madras	ma đờ rát
madre	ma đờ rơ
madrid	ma đờ rít
madura	ma đu ra
mae	ma ê
maekawa	ma ê ca oa
maestra	ma ét sờ tra
maeterlinck	ma tét lin cơ
magadan	ma ga đan
magellan	ma giê lan
maggini	ma gi ni
maginot	ma ghi nốt
magnani	man ha ni
magnus	mắc nút
magritte	ma gờ rít
magsaysay	mác xây xây
mahajanga	ma ha gian ga
maharashtra	ma ha rát sờ tra
mahathir	ma ha thi a
maikopskaaj	mai cốp sờ ca
main	men
maio	mai ô
maits	mai sơ
majorca	ma giót ca
makarenko	ma ca ren cô
makeni	ma kê ni
makhachkala	ma khát ca la
makimono	ma ki mô nô
makoko	ma cô cô
malacca	ma lác ca
malay	ma lay
malebranche	ma lơ bờ răng sơ
malherbe	ma léc bơ
malinke	ma lin kê
malinowski	ma li nốp xờ ki
malraux	man rô
malta	man ta
malthus	man thớt
malvinas	man vi nát
malyj	ma lư i
mamalay	ma ma lay
mamburao	mam bu rao
manado	ma na đô
manco	man cô
mandalay	man đa lay
mandela	man đê la
manessier	ma nê xi ê
manila	ma ni la
manitoba	ma ni tô ba
mann	man
mannerheim	man néc hem
mannheim	man hêm
mano	ma nô
mantegna	man tê nha
mantova	man tô va
manzini	man gi ni
maracaibo	ma ra cai bô
marano	ma ra nô
marat	ma rát
marc	mác
marcel	mác xen
marcello	ma xe lô
marco	mác cô
marcos	mác cốt
marcuse	mác cu sơ
mariana	ma ri a na
marienburg	ma ri en bớt
mariette	ma ri ét
marigny	ma rây ni
mariinskij	ma rin sờ ki
marius	ma ri út
marka	mác ca
markelius	mác kê li út
marlowe	ma lô
marmara	mác ma ra
marne	mác nơ
maroc	ma rốc
marquet	mác kê
marrakech	ma ra kếch
marseille	mác xây
marsh	ma sờ
martial	mác seo
martin	mác tin
martinez	mác ti nét
martinique	mác ti ních
martos	mác tốt
martov	mác tốp
marvin	ma vin
mary	ma ri
maryland	ma ri len
masaka	ma xa ca
masang	ma sang
masanobu	ma xa nô bu
masaouah	ma sao a
mascara	ma xờ ca ra
mascareingnes	mát sờ ca ren nét
mascate	mác cát
maseru	ma xê ru
massachusetts	ma xa chu xét
massenet	ma xơ nét
massin	ma sin
masson	ma sân
mastroianni	ma xờ tơ rôi an ni
matheron	ma tơ rông
matisse	ma ti xơ
matsumoto	mát xu mô tô
matsuyama	mát xu da ma
matveev	mát vê ép
maui	ma u i
mauna	mau na
maupassant	mô ba xăng
maurice	mao rai
maurois	mao rít
maurya	mô ri a
mausole	mao sôn
maxwell	mác xoen
maya	ma da
mayen	ma den
mayo	ma dô
mazurie	ma giu ri
mazzini	ma gi ni
mbale	mơ ba lơ
mbete	mơ bê tê
mclennan	mác len nơn
mead	mít
mecca	méc ca
mechnikov	mét ni cốp
medellin	mê đê lin
medina	mê đi na
mefodij	mê phô đi
meghna	méc na
meidias	mây đi át
meissen	mai sen
meissner	may sờ nơ
meitner	mét nơ
mejicanos	me gi ca nốt
mekong	mê công
melaka	mê la ka
melbourne	meo bơn
melville	men vin
memling	mem linh
menam	mê nam
menandros	mê nan đờ rốt
mendeleev	men đê lê ép
mendelevium	men đe le vi um
mendelssohn	men đen xôn
mendoza	men đô gia
menelaos	mê nê lao sờ
mengistu	men gi xờ tu
menuhin	mê nu hin
menzel	men xen
mercator	méc ca to
mercure	mơ cu ri
merle	méc lơ
merritt	me rít
merton	mơ tơn
meseta	mê xê ta
mesopotamie	mê dô bô ta mi
messerer	mê xê rơ
messiaen	mê xi an
messina	mét xi na
metro	mê trô
mettecnich	mê téc ních
metternich	mét ten ních
metzinger	mét giăng gơ
metzinzer	mét gianh giơ
meuse	miu giơ
mexico	mê xi cô
meyerbeer	mây ơ bia
miami	mai a mi
mian	miên
michel	mi ken
michelangelo	mi kê lang giê lô
michelozzo	mi kê lô xô
michelson	mai ken xơn
michigan	mi chi gân
mies	may giờ
mikhajlovskij	mi khai lốp sờ ki
miklukho	mi khờ lu khô
milhaud	mi lô
mill	miu
millikan	mi li ken
miltiades	min ti a đét
milton	min tơn
milwaukee	mi lau ki
minamata	mi na ma ta
minamoto	mi na mô tô
minas	mi nát
mindanao	min đa nao
mindelo	min đê lô
minerve	mi néc vơ
minghe	min ghê
minkowski	min cốp sờ ki
minneapolis	min nê a bô lít
minorca	mi nót ca
minsk	min xờ cơ
minusinsk	mi nu xin xờ cơ
mirabeau	mi ra bô
mishan	mi san
miskolc	mi xờ côn
miskovich	mít cô vích
missouri	mít sao ri
mitani	mi ta ni
mitchell	mít chen
mithridate	mi tơ ri đát
mitrofan	mi tơ rô phan
mitterand	mít tơ răng
mitumba	mi tum ba
mjaskovskij	mi da xờ cốp xờ ki
mlaren	me la ren
mller	muy lơ
mlu	mờ lu
moa	mô a
mobutu	mô bu tu
moctezuma	mốc tê giu ma
modigliani	mô đi gờ li a ni
moen	mô en
mogadishu	mô ga đi su
moghol	mốc hôn
mogollon	mô gô li ôn
mohammed	mô ha mét
mohawk	mô hốc
mohenjo	mô hen giô
mohs	mô xơ
moinkum	mô in cum
moises	ma sen
moissan	mót sân
moivre	moa vơ rơ
mojave	mô gia vơ
moko	mô ku
molepolol	mô lê pô lon
mollet	mô lét
mollweide	môn quét
molokai	mô lô cai
moluccas	mô lu ca sờ
moncada	môn ca đa
monet	mô nét
monge	mông
mongkut	mông cút
mongoloid	môn gô lô ít
monod	mô nô
montagnier	mông ta nhi ê
montaigne	mông tê nhơ
montana	môn ta na
monte	mông tê
montego	môn tê gô
montelbaan	môn ten ban
montenegro	môn tê nê gờ rô
monterrey	môn tê rây
montevideo	môn tê vi đê ô
montgomery	môn tơ gô mơ ri
montparnasse	mông bác na xơ
montpellier	mông pê li ơ
montserrat	môn xê rát
mopti	mốp ti
moratuwa	mô ra tu qua
moravie	mô ra vi
moreau	mô rô
morelly	mô reo li
morena	mô rê na
moreno	mô rê nô
moresby	mô re xờ bi
morgan	mo gân
morgenstern	mô ghen sờ tơn
morley	mo li
mornay	móc nay
morozov	mô rô giốp
morris	mo rít
morvan	mót van
morzhovetc	mót giô vét
mosel	mo seo
moses	mô sét
mossadegh	mốt xa đéc
mossotti	mót sốt ti
mostar	mô sờ ta
motherwell	ma đơ oen
moundou	moan đu
mountbatten	mao bát tơn
moutier	mao ti ơ
mudanjiang	mu đan gi ang
mufulira	mu phu li ra
mugabe	mu ga bê
muharrak	mu ha rắc
mujnak	mui nác
mulhacen	mu la xen
munsterberg	mun xờ téc bớt
munzer	man giơ
murat	mu rát
murata	mu ra ta
muren	mu ren
murgab	mua gáp
murnau	mua nau
musorgskij	mu sờ óc sờ ki
musset	miu sét
mutsamudu	mút xa mu đu
muztag	mu giờ tác
mwanza	mờ quan gia
mweru	mu ê ru
myrdal	mi rơ đan
mzuzu	mơ giu giu
nabuchadnezzan	na búc hát nê gian
nabuchodonosor	na bu sô đô nô do
nadar	na đa
nadi	na đi
nagasaki	na ga xa ki
nageli	na ghe li
nagornyj	na gót nai
nagoya	na gô da
nagy	na gi
naha	na ha
nairobi	nai rô bi
najibullah	na gi bu la
nakhitchevan	na khi chê van
nakhodka	na khốt ca
nakhon	na khon
naktong	nác tông
namibia	na mi bi a
nanjing	nan ging
napier	nây bi ơ
naples	náp lơ
napoli	na bô ly
narbada	nác ba đa
narmada	na ma đa
narvik	na rơ vích
naryn	na rin
naseby	nây dơ bi
nassau	na xô
nasser	na xê
nateville	na tơ vin
natsagdorj	nát sắc đô ri
natsume	nát sư me
natta	nát ta
naur	nao rơ
nauru	nau ru
nazim	na gim
nazret	na giơ rét
nebraska	nép rát sờ ca
neckar	néc ca
nectanebo	nét tan nê bô
nederland	nê đéc lan
neel	nê en
negina	nê ghi na
negro	nê gờ rô
neiafu	nê i a phu
neiman	nây mơn
neisse	nai xơ
neman	nê man
nemirovich	nê mi rô vích
nemunas	nê mu nát
nepal	nê ban
nessler	nét sờ lơ
netzahualcoyotl	nê xa hu an coi ốt
neumann	niu man
nevada	nê va đa
nevado	nê va đo
nevanlinna	ne van lin na
nevis	nê vít
nevskij	nép xờ ki
newcastle	niu cát sô
newland	niu len
newman	niu man
newport	niu bót
ngozi	nơ gô gi
nhlangano	nhơ lan ga nô
niagara	ni a ga ra
niassa	ni a xa
niccolo	ni cô lô
nickerie	nít ke ri
nicobar	ni cô ba
nicol	ni con
nicolas	ni cô lát
nicolaus	ni cô la út
nicosthenes	ni cô xờ tê nét
niebuhr	ni bua
niedere	ni đê rơ
niepce	ni ép xơ
nihon	ni hon
niigata	ni i ga ta
niki	ni ki
nimes	ni mơ
nineveh	ni nê ve
ninive	ni ni vơ
nipkow	níp cốp
nirari	ni ra ri
niue	niu ê
njaris	ni a rít
nkayi	nơ cay
nkrumah	nơ cờ ru ma
noami	no a mi
nobel	nô ben
nogier	no gi ơ
noguchi	nô gu chi
noi	noi
nome	no mơ
nonghed	non hét
nono	nô nô
nonthaburi	non tha bu ri
noort	nóc tơ
norfolk	nơ phóc
normandie	nót măng đi
norodom	nô rô đôm
norrish	no ri sơ
nosavan	nô xa van
nou	nao
nouhak	nu hắc
noverre	nô vơ
novgorod	nốp gô rốt
novo	nô vô
novonikolaevsk	nô vô ni cô la ép sờ cơ
novorossijsk	nô vô rô xi xờ cơ
nubie	nu bi
nukunono	nu ku nô nô
nukus	nu cút
numidie	nu mi đi
nuremberg	nuy rem bớt
nyala	ni a la
nyasa	ny a sa
nyquist	nai quýt
octavianus	ác ta vi a nút
odense	ô đen xê
ogden	óc đơn
okazaki	ô ka gia ki
oldenburg	ôn đen bớt
omoloj	ô mô loi
ongbah	ong ba
ongole	on gôn
onnes	on nét
oppenheim	ô ben hai mơ
orange	o rin giơ
ordos	ót đót
orloj	ót lốp
ormandy	ót măng đi
ormuzd	ót mút
ouzen	ô gian
oxford	ót xờ phớt
padang	ba đang
padova	ba đô va
paeroa	bê roa
pagan	ba gan
pago	ba gô
pahang	ba hang
pahlavi	ba la vi
paimio	bai mi ô
paiva	bai va
pajot	ba giô
pakse	bắc xê
palace	ba lát xơ
palade	ba lát
palau	ba lau
palermo	ba léc mô
palestine	ba lét tin
palestrina	ba lét tri na
palikir	ba li ki a
palladio	ba la đi ô
palm	bam
pamir	ba mia
pampana	bam ba na
panama	ba na ma
panay	ba nay
panca	ban ca
panofsky	ba nốp sờ ki
paracelsus	ba ra xen sớt
paraiba	ba rai ba
parakou	ba ra ku
paramaribo	pa ra ma ri bô
parana	ba ra na
pardo	bác đô
pareto	ba rê tô
parini	ba ri ni
paris	ba ri
parker	bắc cơ
parmentier	bác man thai ơ
parnasse	bác na xơ
paropamisus	ba rô ba mi sút
parseval	ba xe van
parthenon	bác tê nông
parthia	bác thi a
pascal	bát sờ can
pascoli	ba xờ cô li
pascua	ba xờ cu a
pasternak	bát sờ tơ nách
pasteur	bát sờ tơ
patagonia	ba ta gô ni a
patani	ba ta ni
patjitan	bát gi tan
patna	bát na
patrick	ba trít
paul	bôn
pauli	bao li
pauling	bao linh
paulo	bao lô
paustovskij	bau tốp sờ ki
pavese	ba vê dê
pavie	ba vi
pavlov	báp lốp
pavlova	ba phờ lô va
peano	bê a nô
pechora	bê chô ra
pei	bây
peirce	bi ơ xơ
peloponnissos	bê lô bô ni xốt
peltier	ben chi ê
pemba	bem ba
penang	bê nang
pendjab	ben giáp
pendleton	ben đơn tơn
penk	ben cơ
penn	ben
pennine	ben nin
pennsylvania	ben sin va ni a
peracini	bê ra xi ni
perkin	bơ kin
perrault	bê rô
perreaux	bơ rô
perrier	bê ri ê
perrin	bê rin
perrot	bê rót
perry	be ri
perse	béc xơ
persique	béc xích
perth	bớt
perugia	bê ru gia
perugino	bê ru gi nô
pestalozzi	bét sờ ta lô xi
peter	bi tơ
petipa	bơ ti ba
petrarca	bê trác ca
petrashevskij	bê tơ ra sép xờ ki
petrjak	bê tri ắc
petrograd	bê tơ rô gờ rát
petrovskij	bê tơ rốp xờ ki
petrzhak	bê tơ rơ giắc
petty	bét ti
peugeot	biu giô
pevek	bê vếch
pha	pha
pharos	pha rốt
pharsalia	phác xa li a
phidias	phi đi át
philadelphia	phi la đen phi a
philastre	phi lát trơ
philippe	phi líp
philippines	phi líp bin
philon	phi lông
phnom	phờ nôm
phomvihane	phôm vi han
phouma	phu ma
phoumi	phu mi
phuket	phu kẹt
phuntsholing	phun sô linh
piacenza	bi a chen gia
piaget	bi a giê
pibul	bi bun
picabia	bi ca bi a
picasso	bi ca xô
pice	bai xờ
pichincha	bi chin cha
pickett	bích két
pieck	bích cơ
pierre	bi e
pietro	bi ét trô
pigou	bi gu
pikwe	bi quy
pilar	bi la
pilica	bi li xa
piltdown	bin đao
pincevent	bin xê vân
ping	binh
pinochet	bi nô chét
pirandello	bi ran đê lô
pirogov	bi rô gốp
pisa	bi sa
pisano	bi sa nô
pisarev	bi xa rép
piscator	bi xờ ca tô
pitkin	bít kin
pittsburgh	bít xờ bớt
pizarro	bi gia rô
planck	phờ lăng
planina	phờ la ni na
platon	bờ la tôn
platonov	phờ la tô nốp
platt	phờ lát
plessner	phờ lét nơ
plinius	phờ li ni út
pliseckaja	phờ li xét xờ kai a
pljotcenz	phờ li ốt xen giơ
plotin	phờ lô tin
pnyx	phờ ny
pock	bóc
podkamennaja	bốt ca men na gia
poe	bâu
pohnpei	bôn bây
point	boi
pointe	bon tờ
pokumpo	bô cum bô
polanyi	bô la ni
pollock	bô lốc
polykleitos	bô li cờ lây tốt
polymnie	bô lim ni
pompei	bom bay
pompeius	bom bây út
pompidou	bông bi đu
poncelet	bông xơ lét
pondichery	bông đi sê ri
poniatowski	bô ni a tốp xờ ki
pontoppidan	bon tô bi đan
ponty	bông ty
popogue	bô bô gơ
popper	bốp bơ
port	bọt
portalis	bót ta lít
porter	bo tơ
portmore	bót mo
porto	bót tô
potjomkin	bốt giôm kin
pott	bót
pottier	bô chi ê
pound	bao đơ
poussin	bu san
poynting	bon tinh
pozharskij	bô giắc sờ ki
poznan	bô giơ nan
prachim	phờ rác him
prahova	phờ ra hô va
praia	phờ rai a
prajapati	phờ ra gia ba ti
prandtl	phờ răng
praphas	phờ ra phát
prat	phờ rát
pratolini	phờ ra tô li ni
predmost	bờ rét mót
pregl	phờ rét lơ
prelog	bờ rê lóc
preobrazhenskaja	phờ rê ô bờ ra gien xờ kai a
pressburg	bờ rét bớt
preston	bờ re xờ tơn
pretoria	bờ rê tô ri a
pretorius	phờ rê tô ri út
prigogine	phờ ri gô gin
prince	phờ ring xơ
princeton	bờ rin xe tơn
prokhorov	phờ rô khô rốp
prokofev	phờ rô cô phép
prostakov	phờ rô xờ ta cốp
protagoras	phờ rô ta gô rát
proudhon	phờ ru đông
provence	phờ rô văng xơ
provins	bờ rồ vin
prudhomme	phờ ruy đom
pudovkin	bu đốp kin
puebla	bu ê bờ la
puerto	bu éc tô
puget	bu i gét
pulitzer	bu lít giơ
puniques	bu ních
punjab	bun giáp
purcell	bơ xen
pursat	buốc sát
pusan	bu san
pushkin	bu sờ kin
puys	bu i
pythie	bi ti
queen	quyn
quentin	quyn tin
quincke	quin cơ
quintillianus	quyn ti li a nút
rabat	ra bát
racine	ra xin
radishchev	ra đi sép
raffaello	ra pha e lô
rajkov	rai cốp
rajzman	rai giơ man
rakhmaninov	rắc ma ni nốp
raman	ra man
ramapithecus	ra ma bi tha cớt
rameau	ra mô
ramos	ra mốt
ranges	ren giơ
rangoon	ran gun
rarotonga	ra rô tôn ga
rastrelli	ra xờ tơ rê li
ratzel	rát xen
ratzenhofer	rát xen hô phơ
raun	ra on
rauschenberg	rau sen bớt
ravel	ra ven
rayleigh	rây lây
raynaud	rây nô
raysse	rây xơ
razin	ra gin
reap	riếp
red	rét
redi	re đi
redon	rơ đông
rehoboth	rê hô bốt
reichenbach	rây khen béch
reims	rem xờ
rembrandt	rem bờ ran
renard	ri nát
renault	rơ nô
renoir	rơ noa
repin	rê pin
resnais	rét sờ nây
revers	ri vơ
rhein	ran
rhodes	rốt
rhodesia	rô đê si a
riazan	ri a gian
rica	ri ca
ricardo	ri các đô
richard	ri chạc
richardson	ri chác sơn
richter	rít tơ
rickert	rích cớt
ricoeur	ri cơ
ridgway	rít quây
rieng	riêng
rif	ríp
riga	ri ga
righi	ri ghi
rijeka	ri giê ca
rijks	rích
rilke	rin cơ
rio	ri ô
rioni	ri ô ni
ritter	rít tơ
rivas	ri vát
rivera	ri vê ra
roanne	rô an
robbe	róp
roberval	rô béc van
robin	rô bin
robinson	rô bin xơn
robson	rốp sơn
rochester	rô che xờ tơ
rodbertus	rốt béc tuýt
rodchenko	rốt chen cô
rodin	rô din
rodolphe	rô đôn phơ
rodrigue	rô đờ ri gơ
rolland	rô lăng
romm	rôm mơ
rommel	rô men
ronsard	rông xa
roosevelt	ru dơ ven
rosa	rô xa
roscellinus	rốt sen li nớt
roscher	rốt sơ
rosenberg	rô sen bớt
rosenborg	rô xen bớt
rosita	rô si ta
ross	rô xơ
rossellini	rô xê li ni
rossi	rốt si
rosso	rốt xô
rossolimo	rô mô li mô
rostand	rốt sờ tan
rostockij	rốt tốc ki
rostropovich	rốt trô bô vích
rothko	rốt cô
rotterdam	rô téc đam
rouen	ru ăng
rousseau	ru xô
roy	roi
rozov	rô giốp
rubens	ru ben
rubinstein	ru bin sờ tê in
rude	ruy đơ
rufisque	ruy phi xờ cơ
ruge	ru giơ
rulfo	run phô
rumjancev	ru mi an xép
rundu	run đu
rusakov	ru sa kốp
rushd	ru sờ đơ
rushmore	rát sờ mo
russolo	ru sô lô
rustavi	rút ta vi
rutherford	ru thơ pho
ryle	rai lơ
rytkheu	rít khiu
ryukyu	riu kiu
sargon	sác gôn
schaeffer	sép phơ
schawlow	sao lô
scheele	sê lơ
scheler	se lơ
scherrer	se rơ
scheumann	sô u man
schiller	si lơ
schinkel	sin ken
schlegel	sờ lê ghen
schleicher	sờ lai sơ
schleiden	sờ lây đen
schleyer	sờ lây ơ
schliemann	sờ li man
schonberg	sôn bớt
schottky	sót ki
schrieffer	sờ ri phơ
schubert	su bớt
schumann	su man
schumpeter	sum bê tơ
schuster	su xờ tơ
schwab	sờ quáp
schwaben	sờ va ben
schwann	sờ van
schwarz	sờ vác
schwinger	xờ quynh gơ
segre	sê gờ rê
shadr	sa đờ rơ
shafran	sa phờ ran
shaftesbury	sép tơ xờ bơ ri
shah	sa
shakespeare	sếch xờ bi a
shakhmatov	sa khơ ma tốp
shannon	san nơn
shar	sa rơ
sharchops	sác hóp
shari	sa ri
shatt	sát
shaw	so
shchedrin	sê đờ rin
shebele	sê bê lê
sheffield	sép phiu
shemjakin	sem gia kin
shepard	sê bác đơ
shevchenko	xép chen cô
shi	si
shick	sít
shigefumi	si ghê phu mi
shikoku	si cô cu
shio	si ô
shire	si rê
shiva	si va
shnitke	sờ nít ki
shopas	sô bát
shostakovich	sô xờ ta cô vích
shternberg	sờ tơn bớt
shubin	su bin
shukhov	su khốp
shwe	su ê
shwezigon	su ê gi gôn
shzcherba	séc ba
siemens	si men
slukhockij	sờ lu khốt xờ ki
spencer	sờ ben sơ
spengler	sờ ben lơ
spitsbergen	sờ bít béc gen
spohr	sờ bo rơ
stal	sờ tan
stark	sờ tác
staudinger	sờ tau đing ơ
steinitz	sờ tai nít
stieglitz	sờ ti gờ lít
stieltjes	sờ tin ti ét
stinnes	sờ ti nét
stirner	sờ tiếc nơ
stuttgart	sờ tút gát
sun	sơn
szymanowski	si ma nốp xờ ki
tabinshweti	ta bin su ê ti
tabinsweti	ta bin xuê ti
tadjoura	tát giu ra
taganrog	ta gan rốc
tagar	ta ga
taglioni	ta li ô ni
tagore	ta go
tahat	ta hát
tahiti	ta hi ti
taine	ten
taipa	tai ba
tajikistan	tát gi ki xờ tan
tajmyr	tai mưa
tajumulco	ta giu mun cô
takauji	ta cao gi
takizawa	ta ki gia qua
tallin	ta lin
tamayo	ta may ô
tamm	tam
tammann	ta man
tampere	tam bê rê
tanaka	ta na ca
taneev	ta nê ép
tanegashima	ta nê ga si ma
tanezrouft	ta nê giờ rúp
tanga	tan ga
tanganyika	tan ga ny ca
tange	tan ghê
tanger	tăng gơ
tanguy	tăng ghi
tannenberg	tan nen bớt
tanzania	tan gia ni a
taohe	thao
tapti	táp ti
taraki	ta ra ki
tarawa	ta ra oa
tardieu	tác đi ơ
tarfaya	tác phây a
tarim	ta rim
tartaglia	tác ta li a
tarutino	ta ru ti nô
tashan	ta san
tashkent	tát ken
tasman	ta xờ man
tasmanie	ta sờ ma ni
tassigny	ta si ni
tata	ta ta
tatar	ta ta rơ
tate	tây tơ
tatlin	tát lin
tatsumi	tát xư mi
taube	to bơ
taut	tau lơ
taylor	tai lo
tbilisi	tờ bi li xi
tedjen	tét gien
teglath	tê gờ lát
tegucigalpa	tê gu xi gan ba
teheran	tê hê ran
tehuantepec	tê hu an tê béc
teilhard	tê la
tejo	tê giô
teke	tê kê
tel	theo
telesio	tê lê si ô
teller	theo lơ
tenji	ten gi
tennant	ten nan
tennessee	ten nét si
terek	tê rếch
terengganu	tê reng ga nu
terentius	tê ren ti út
termez	téc mét
terpsichore	téc xi so rơ
teruel	tê ru en
tethys	te tít
tetovo	tê tô vô
tevere	tê ve rê
texas	tếch giát
thales	ta lét
thant	tan
thatcher	thát chơ
thera	thê ra
thiers	thi ê
thomas	thô mát
thomson	thom xơn
thonburi	thon bu ri
thorez	tô rê
thorndike	thoan đắc
thoutmosi	thút mô si
thrace	thơ ra xờ
