a'marie	ಅಮಾರೀ
delvada	ದೆಲವಾಡಾ
demetria	ಡೆಮಿಟ್ರಯಾ
denesh ramdin	ದೇನೆಶ್ ರಾಮ್ದಿನ್
denis aberhart	ಡೆನಿಸ್ ಅಬರಾರ್ಟ್
denise	ಡೆನೈಸ್
dennis rodman	ಡೆನಿಸ್ ರಾಡ್ಮನ್
deo	ಡಿಯೊ
deoband	ಡಿಯೋಬಂದ್
deol	ಡಿಯೊಲ್
deoria sadar	ಡಿಯೋರಿಯಾ ಸದರ್
depaul university	ಡಿ ಪೌಲ್ ಯುನಿವರ್ಸಿಟಿ
depinder	ದಿಪಿಂದರ್
derawar fort	ದೆರಾವರ್ ಫೋರ್ಟ್
derby	ಡರ್ಬಿ
derek stirling	ಡೆರೆಕ್ ಸ್ಟರ್ಲಿಂಗ್
derek underwood	ಡೆರೆಕ್ ಅಂಡರ್ ವುಡ್
derica	ಡೆರಿಕಾ
deron	ಡಿರೊನ್
derrick	ಡೆರಿಕ್
derron	ಡೆರೋನ್
deryck murray	ಡೆರಿಕ್ ಮುರೇ
descartes systems group	ಡೆಸ್ಕಾರ್ಟಿಸ್ ಸಿಸ್ಟಮ್ಸ್ ಗ್ರೂಪ್
desdemona	ಡೆಸ್ಟೆಮೊನಾ
desh drohi	ದೇಶ್ ದ್ರೋಹಿ
desh ke dushmann	ದೇಶ್ ಕೆ ದುಶ್ಮನ್
desh shatru	ದೇಶ್ ಶತ್ರು
deshpande	ದೇಶಪಾಂಡೆ
desmond	ಡೆಸ್ಮೊಂಡ್
despina	ಡೆಸ್ಪಿನಾ
destiny	ಡೆಸ್ಟಿನಿ
deswell industries	ಡೆಸ್ವೆಲ್ ಇಂಡಸ್ಟ್ರೀಸ್
detective	ಡಿಟೆಕ್ಟಿವ್
detroit	ಡೆಟ್ರಾಯಿಟ್
deuel	ಡಿಯೊಲ್
deutscher spiele preis	ಡ್ಯೂಟ್ಸ್‌ಚೆರ್ ಸ್ಪೈಲ್ ಪ್ರೆಯಿಸ್
dev	ದೆವ್್
dev gaayak	ದೇವ್ ಗಾಯಕ್
dev kumar	ದೇವ್ ಕುಮಾರ್
devadutt	ದೇವದತ್ತ
devahuti	ದೇವಾಹುತಿ
devajyoti	ದೇವಜ್ಯೋತಿ
devak	ದೇವಕ್
devakottai road	ದೇವಕೋಟೈ ರೋಡ್
devamat	ದೇವಮತ್
devang gandhi	ದೇವಾಂಗ್ ಗಾಂಧಿ
devar bhabi	ದೇವರ್ ಭಾಭೀ
devasheesh	ದೇವಶೀಶ್
devashish	ದೇವಶೀಶ್
devasree	ದೇವಶ್ರೀ
devastation	ಡೆವಾಸ್ಟೇಶನ್
devdhar	ದೇವಧರ್
devdharkar	ದೇವಧರ್ಕರ್
devdutta	ದೇವದತ್ತಾ
devee	ದೇವೀ
devesh	ದೇವೇಶ್
deveshwar	ದೇವೇಶ್ವರ್
devgiri fort	ದೇವಗಿರಿ ಫೋರ್ಟ್
devika	ದೇವಿಕಾ
devilal	ದೇವಿಲಾಲ್
devinder	ದೇವೀಂದರ್
devinderpal	ದೇವೀಂದರ್‌ಪಾಲ್
devlali	ದೇವಲಾಲೀ
devlin	ಡೆವ್ಲಿನ್
devnath	ದೇವನಾಥ್
devon	ಡೇವನ್
devpura	ದೇವಪುರಾ
devshishu	ದೇವಶಿಶು
devta	ದೇವತಾ
devvrat	ದೇವರತ್
dewanganj	ದೇವನ್‌ಗಂಜ್
dewas	ದೇವಾಸ್
dewey	ಡೇವೇ
dexia group	ಡೆಕ್ಸ್ಯಾ ಗ್ರೂಪ್
dhaanesh	ಧಾನೇಶ್
dhadhria	ಢಾಡ್ರಿಯಾ
dhadkan	ದಡಕನ್
dhadvaiwale	ಧಾಡ್ವೈವಾಲೆ
dhakiyah	ಧಾಕಿಯಾ
dhaleshwari	ಧಾಲೇಶ್ವರಿ
dhalgaon	ಧಾಲ್‌ಗಾಂವ್
dhaman	ಧಮನ್
dhamija	ಧಾಮಿಜಾ
dhamni	ಧಾಮನೀ
dhamora	ಧಮೊರಾ
dhamtari	ಧಂತಾರಿ
dhamua	ಧಾಮುಯಾ
dhana kherli	ಧಾನಾ ಖೆರಲೀ
dhanakwada	ಧಾನಕವಾಡಾ
dhananjay	ಧನಂಜಯ
dhanari	ಧನಾರೀ
dhanbad	ಧನ್ ಬಾದ್
dhanbad junction	ಧನಬಾದ್ ಜಂಕ್ಷನ್
dhandal	ಥಂದಲ್
dhandari kalan	ಧಂಡಾರಿ ಕಲನ್
dhaneta	ಧನೆತಾ
dhanishta	ಧನಿಷ್ಠ
dhansindi	ಧನ್‌ಸಿಂದಿ
dhanya	ಧನ್ಯಾ
dhar	ಧಾರ್
dharam	ಧರಂ
dharam aur kanoon	ಧರಮ್ ಔರ್ ಕಾನೂನ್
dharam kanta	ಧರಮ್ ಕಾಂಟಾ
dharam shatru	ಧರಮ್ ಶತ್ರು
dharamdeep	ಧರಂದೀಪ್
dharamdev	ಧರಂದೇವ್
dharashivkar	ಧಾರಾಶಿವಕರ್
dhari junction	ಧಾರೀ ಜಂಕ್ಷನ್
dhariwal	ಧಾರಿವಾಲ್
dharm patni	ಧರ್ಮ್ ಪತ್ನಿ
dharma	ಧರ್ಮಾ
dharmabad	ಧರ್ಮಬಾದ್
dharmadev	ಧರ್ಮದೇವ್
dharmanand	ಧರ್ಮಾನಂದ್
dharmendra	ಧರ್ಮೇಂದ್ರ
dharmendu	ಧರ್ಮೇಂದು
dharmpur himachal	ಧರ್ಮಪುರ್ ಹಿಮಾಚಲ್
dharti	ಧರತಿ
dharuna	ಧರುಣಾ
dhasa junction	ಧಾಸಾ ಜಂಕ್ಷನ್
dhatri	ಧಾತ್ರಿ
dhaulpur	ಧಾಲ್ಪುರ್
dhavle	ಢವಲೆ
dhawan	ಧಾವನ್
dheena	ಧೀನಾ
dheera	ಧೀರಾ
dheerendra	ಧೀರೇಂದ್ರ
dhilwan	ಧಿಲ್ವಾನ್
dhimaan	ಧೀಮಾನ್
dhinda	ಧಿಂಡಾ
dhindsa	ಧಿಂಡ್ಸಾ
dhirganj	ಧೀರಗಂಜ್
dhoble	ದೋಬ್ಲೆ
dhoda	ಧೋಡಾ
dhodhar	ಧೋಧರ್
dhondi	ಧೋಂಡಿ
dhoraji	ಧೋರಾಜಿ
dhrangdhra	ಧ್ರಂಗಧರಾ
dhriti	ಧೃತಿ
dhruv	ಧೃವ್
dhruva	ಧೃವಾ
dhubri	ಧುಬ್ರಿ
dhul-nun al-misri	ದುಲ್-ನುನ್ ಅಲ್-ಮಿಸ್ರಿ
dhule	ಧುಲೆ
dhulkot	ಧೂಲಕೋಟ್
dhumravarn	ಧುಮ್‌ರಾವರ್ನ್
dhuri junction	ಧುರೀ ಜಂಕ್ಷನ್
dhvani	ಧ್ವಾನಿ
dhwani	ಧ್ವಾನೀ
dhyanesh	ಧ್ಯಾನೇಶ್
diamonds	ಡೈಮಂಡ್ಸ್
diana	ಡಯಾನಾ
dianne	ಡಿಯಾನ್ನೆ
diantha	ಡಿಯಾಥಾ
dibang valley	ದಿಬಾಂಗ್ ವ್ಯಾಲಿ
dichpalli	ದಿಚಪಲ್ಲಿ
dick chaney	ಡಿಕ್ ಚೆನೀ
dick gregory	ಡಿಕ್ ಗ್ರೆಗೋರಿ
dickens	ಡಿಕ್ಸನ್
dickin medal	ಡಿಕ್ಕಿನ್ ಮೆಡಲ್
didjeridu	ಡಿಜೆರಿದು
dighwara	ದಿಗವಾರಾ
digital	ಡಿಜಿಟಲ್
digod	ದಿಗೋಡ್
diksha	ದೀಕ್ಷಾ
dil	ದಿಲ್
dil aur deewar	ದಿಲ್ ಔರ್ ದೀವಾರ್
dil diwana	ದಿಲ್ ದೀವಾನಾ
dil diya dard liya	ದಿಲ್ ದಿಯಾ ದರ್ದ್ ಲಿಯಾ
dil hi dil mein	ದಿಲ್ ಹೀ ದಿಲ್ ಮೇ
dil hi to hai	ದಿಲ್ ಹೀ ತೋ ಹೈ
dil ka dada	ದಿಲ್ ಕಾ ದಾದಾ
dil ka thug	ದಿಲ್ ಕಾ ಠಗ್
dil ki duniya	ದಿಲ್ ಕೀ ದುನಿಯಾ
dil tera diwana	ದಿಲ್ ತೆರಾ ದೀವಾನಾ
dil tujh ko diya	ದಿಲ್ ತುಝ್ ಕೊ ದಿಯಾ
dilawarnagar	ದಿಲಾವರನಗರ್
dilbar	ದಿಲ್‌ಬರ್
diler	ದಿಲೇರ್
diler daku	ದಿಲೇರ್ ಡಾಕೂ
diljala	ದಿಲ್‌ಜಲಾ
dilli ka dada	ದಿಲ್ಲೀ ಕಾ ದಾದಾ
dillon	ಡಿಲ್ಲೊನ್
dilwale dulhania le jaayenge	ದಿಲ್ವಾಲೆ ದುಲ್ಹನಿಯಾ ಲೇ ಜಾಯೆಂಗೆ
dimaia	ಡಿಮಾಯ್
dimapur	ದಿಮಾಪುರ್
dimow	ದಿಮೋವ್
din dahade	ದಿನ್ ದಹಾಡೆ
dina nagar	ದಿನಾ ನಗರ್
dinagaon	ದಿನಾಗಾಂವ್
dinanath	ದೀನನಾಥ
dindayal	ದೀನ್‌ದಯಾಳ್
dindigul junction	ದಿಂಡಿಗಲ್ ಜಂಕ್ಷನ್
dindigul mannar thirumalai	ದಿಂಡಿಗಲ್ ಮನ್ನಾರ್ ತಿರುಮಲೈ
dindori	ದಿಂಡೋರಿ
dinesh	ದಿನೇಶ್
dingankar	ದಿಂಗಂನ್ಕರ್
dingwahi	ದಿಂಗವಾಹಿ
dinusha fernando	ದಿನುಶಾ ಫೆರ್ನಾಂಡೊ
dion nash	ಡಯನ್ ನ್ಯಾಷ್
dionne	ಡಿಯೊನ್ನೆ
dionysius	ಡಿಯೊಸಿಸ್
dionysus	ಡಿಯೊಸಸ್
diplana	ದಿಪಲಾನಾ
dirac prize	ಡಿರಾಕ್ ಪ್ರೈಜ್
dirham	ಡಿರ್ಹಾಮ್
dirt bike racing	ಡರ್ಟ್ ಬೈಕ್ ರೇಸಿಂಗ್
disa	ದಿಸಾ
disco dancer	ಡಿಸ್ಕೊ ಡ್ಯಾನ್ಸರ್
discus	ಡಿಸ್ಕಸ್
divaakar	ದಿವಾಕರ್
divarath	ದಿವರತ್
divjot	ದಿವಜೋತ್
divorce	ಡೈವರ್ಸ್
divya	ದಿವ್ಯ
divyanga	ದಿವ್ಯಾಂಗ
divyendu	ದಿವ್ಯೇಂದು
divyesh	ದಿವ್ಯೇಶ್
diwana	ದಿವಾನಾ
diwankhavati	ದಿವಾನಖಾವತಿ
diwekar	ದಿವೇಕರ್
dixit	ದೀಕ್ಷಿತ್
dixmude	ಡಿಕ್ಸ್‌ಮುಡೆ
diya	ದಿಯಾ
do behnen	ದೋ ಬಹನೇ
do bigha zameen	ದೋ ಬೀಘಾ ಜಮೀನ್
do dost	ದೋ ದೋಸ್ತ್
do dulhe	ದೋ ದೂಲ್ಹೆ
do dushman	ದೋ ದಶಮನ್
do gaz zameen ke neeche	ದೋ ಗಜ್ ಜಮೀನ್ ಕೆ ನೀಚೆ
do gulab	ದೋ ಗುಲಾಬ್
do khiladi	ದೋ ಖಿಲಾಡಿ
do matwale	ದೋ ಮತವಾಲೆ
do musafir	ದೋ ಮುಸಾಫಿರ್
do raha	ದೋ ರಹಾ
do roti	ದೋ ರೋಟಿ
do sholay	ದೋ ಶೋಲೆ
dobbelaar	ಡೊಬೆಲಾರ್
dobh bahali	ದೋಭ ಬಹಾಲಿ
dobry	ಡಾಬ್ರೆ
doda	ದೋಡಾ
dodda ganesh	ದೊಡ್ಡ ಗಣೇಶ್
dohrighat	ದೋಹ್ರಿಘಾಟ್
dolan	ಡೊಲನ್
doli	ಡೋಲಿ
dollar	ಡಾಲರ್
dolly parton	ಡಾಲಿ ಪಾರ್ಟನ್
dolores	ಡೊಲೊರಿಸ್
dom	ಡಾಮ್
dombivili	ದೊಂಬಿವಿಲಿ
dominic cork	ಡಾಮಿನಿಕ್ ಕೋರ್ಕ್
dominican republic	ಡೊಮಿನಿಕನ್ ರಿಪಬ್ಲಿಕ್
don johnson	ಡಾನ್ ಜಾನ್ಸನ್
donakonda	ದೊನಕೊಂಡ
donal	ಡೋನಲ್
donald trump	ಡೊನಾಲ್ಡ್ ಟ್ರಂಪ್
dongargaon	ದೊಂಗರ್ಗಾವ್
donigal	ದೊನಿಗಲ್
donna	ಡೊನ್ನಾ
donnan	ಡೊನ್ನನ್
donnel	ಡೊನೆಲ್
donnelly	ಡಾನೆಲ್ಲಿ
donny	ಡಾನಿ
dooj ka chand	ದೂಜ್ ಕಾ ಚಾಂದ್
dooley	ಡೂಲೇ
door door paas paas	ದೂರ್ ದೂರ್ ಪಾಸ್ ಪಾಸ್
door gagan ki chhaon mein	ದೂರ್ ಗಗನ್ ಕೀ ಛಾವ ಮೇ
door ka raahi	ದೂರ್ ಕಾ ರಾಹೀ
door wadiyon mein kahin	ದೂರ್ ವಾದಿಯೋ ಮೇ ಕಹೀ
doosra	ದೂಸರಾ
doraha	ದೊರಾಹಾ
dorcas	ಡಾರ್ಕಾಸ್
dore	ಡೊರಿ
doris	ಡೊರಿಸ್
dorothea	ಡೊರೋಥಿಯಾ
dorothy	ಡೊರೋಥಿ
dory	ಡೋರಿ
dostana	ದೋಸ್ತನಾ
dosti	ದೋಸ್ತೀ
dotty	ಡಾಟಿ
doug walters	ಡೋ ವಾಲ್ಟರ್ಸ್
dougal	ಡೌಗಲ್
doust	ಡೌಸ್ಟ್
doyel	ಡೋಯಲ್
doyen	ಡೊಯನ್
drafts	ಡ್ರಾಫ್ಟ್ಸ್
drama desk awards	ಡ್ರಾಮಾ ಡೆಸ್ಕ್ ಅವಾರ್ಡ್ಸ್
draper	ಡ್ರಾಪರ್
draupadi vastra haran	ದ್ರೌಪದೀ ವಸ್ತ್ರ ಹರಣ್
drea	ಡ್ರಿಯಾ
dreama	ಡ್ರೀಮಾ
dridhpad	ದೃಪದ್
drijhoek	ಡ್ರಿಜ್‌ಹೋಕ್
dristi	ದೃಷ್ಟಿ
drupad	ದ್ರುಪದ್
duaba	ದುವಾಬಾ
dubaha	ದುಬಾಹಾ
dubnium	ಡುಬ್ನಿಯಂ
duddhinagar	ದುದ್ಧಿನಗರ್
dudh sagar	ದೂಧ್ ಸಾಗರ್
dudhia	ದೂಧಿಯಾ
dudley	ಡುಡ್ಲೆ
duduk	ಡುಡುಕ್
duer	ಡುವರ್
duf	ಡಫ್
dugan	ಡ್ಯುಗನ್
dugdol	ದುಗಡೊಲ್
duggari	ದುಗ್ಗರಿ
duguid	ಡುಗ್ಯೂಡ್
duha	ದುಹಾ
duilio	ಡ್ಯುಲಿಯೊ
dulcina	ಡಲ್ಕಿನಾ
duleep mendis	ದುಲೀಪ್ ಮೆಂಡಿಸ್
dulha bikta hai	ದುಲ್ಹಾ ಬಿಕತಾ ಹೈ
dulha dulhan	ದುಲ್ಹಾ ದುಲಹನ್
dulhan	ದುಲ್ಹನ್
dulhan wohi jo piya man bhaye	ದುಲ್ಹನ್ ವಹೀ ಜೋ ಪಿಯಾ ಮನ್
dulip liyanage	ದುಲಿಪ್ ಲಿಯನಗೆ
dullewal	ದುಲ್ಲೆವಾಲ್
dullo	ಡೂಲ್ಲೋ
dulon	ದೂಲೋ
dulrasar	ದುಲರಾಸರ್
dum dum cantonment	ಡಂ ಡಂ ಕಂಟೋನ್ಮೆಂಟ್
dumbarton	ಡಂಬರ್ಟನ್
dumbra	ಡುಂಬ್ರಾ
dumoga bone	ಡುಮೋಗಾ ಬೋನ್
duncan	ಡಂಕನ್
dundara	ದುಂಡಾರಾ
dundlod	ದುಂದಲೋದ್
duniya hai dil walon ki	ದುನಿಯಾ ಹೈ ದಿಲವಾಲೋ ಕೀ
duniya nachegi	ದುನಿಯಾ ನಾಚೇಗೀ
dupont	ಡ್ಯುಪಾಂಟ್
dupont-columbia award	ಡ್ಯೂಪಾಂಟ್-ಕೋಲಂಬಿಯಾ ಅವಾರ್ಡ್
durafe	ದುರಾಫೆ
durdanah	ದುರ್ದನ
durg	ದುರ್ಗ
durga	ದುರ್ಗಾ
durgaa	ದುರ್ಗಾ
durgaaprasaad	ದುರ್ಗಾಪ್ರಸಾದ್
durgapur	ದುರ್ಗಾಪುರ
durrah	ದುರಾಹ್
durrani	ದುರ್ರಾನಿ
durvish	ದುರ್ವಿಶ್
dus lakh	ದಸ್ ಲಾಖ್
dusanjh	ದುಸಾಝ್
dushmani	ದುಶ್ಮನಿ
duskheda	ದುಸ್ಕೇಡಾ
dutch civil war	ಡಚ್ ಸಿವಿಲ್ ವಾರ್
dutchess	ಡಚೆಸ್
duty	ಡ್ಯೂಟಿ
duvidha	ದುರ್ವಿಧಾ
dvoyanka	ದ್ವೋಯಂಕ
dwarikesh sugar	ದ್ವಾರಕೀಶ್ ಶುಗರ್
dwijendra	ದ್ವಿಜೇಂದ್ರ
dyan	ಡೈನಾ
dyllis	ಡೈಲಿಯಾಸ್
dymchurch redoubt	ಡಿಮ್‌ಚರ್ಚ್ ರಿಡೌಟ್
dympna	ಡಿಪ್ನಾ
dyson	ಡೈಸನ್
dysprosium	ಡಿಸ್ಪ್ರೋಸಿಯಂ
eads	ಈಡ್ಸ್
eagle bulk shipping	ಈಗಲ್ ಬಲ್ಕ್ ಶಿಪ್ಪಿಂಗ್
eara	ಈರಾ
earl	ಅರ್ಲ್
earnest	ಅರ್ನೆಸ್ಟ್
east anglia fort	ಈಸ್ಟ್ ಆಂಗ್ಲಿಯಾ ಫೋರ್ಟ್
east humboldt	ಈಸ್ಟ್ ಹಂಬೋಲ್ಡ್
eastbourne redoubt	ಈಸ್ಟ್ ಬೌರ್ನೆ ರಿಡೌಟ್
eastwood	ಈಸ್ಟ್‌ವುಡ್
eavan	ಈವಾನ್
eben-emael	ಎಬನ್-ಎಮಿಲ್
eblis	ಎಬ್ಲಿಸ್
ebony	ಇಬೋನಿ
ebra	ಎಬ್ರಾ
edakkad	ಇದಕ್ಕಾಡ್
edalene	ಎಡಲೀನ್
edaline	ಎಡಲಿನ್
edda	ಎಡ್ಡಾ
eddie	ಎಡ್ಡೀ
ede	ಎಡಿ
edgar	ಎಡ್ಗರ್
edger allan poe	ಎಡ್ಗರ್ ಅಲನ್ ಪೋಯ್
edinburgh college of art	ಎಡಿನ್‌ಬರ್ಗ್ ಕಾಲೇಜ್ ಆಫ್ ಆರ್ಟ್
edric	ಎಡ್ರಿಕ್
edwards	ಎಡ್ವರ್ಡ್ಸ್
edwin	ಎಡ್ವಿನ್
edwina	ಎಡ್ವಿನಾ
eeckeren	ಎಚರೆನ್
eenadu	ಈನಾಡು
eeshvar	ಈಶ್ವರ್
effie	ಇಫ್ಫಿ
egypt	ಈಜಿಪ್ಟ್
egyptian museum	ಇಜಿಪ್ಟಿಯನ್ ಮ್ಯೂಸಿಯಂ
ehren	ಎಹ್ರಿನ್
ehrenbreitstein	ಎಹ್ರೆನ್‌ಬ್ರೆಸ್ಟಿನ್
eifel	ಎಫೆಲ್
eileen	ಈಲೀನ್
eilis	ಈಲಿಸ್
ek adhuri kahani	ಏಕ್ ಅಧೂರೀ ಕಹಾನಿ
ek chadar maili si	ಏಕ್ ಚಾದರ್ ಮೈಲೀ ಸೀ
ek chitthi pyar bhari	ಏಕ್ ಚಿಟ್ಠಿ ಪ್ಯಾರ್ ಭರೀ
ek dil sau afsane	ಏಕ್ ದಿಲ್ ಸೌ ಅಫಸಾನೆ
ek din achanak	ಏಕ್ ದಿನ್ ಅಚಾನಕ್
ek hi raasta	ಏಕ್ ಹೀ ರಾಸ್ತಾ
ek jhalak	ಏಕ್ ಝಲಕ್
ek kali muskai	ಏಕ್ ಕಲೀ ಮುಸ್ಕಾಯಿ
ek ke baad ek	ಏಕ್ ಕೆ ಬಾದ್ ಏಕ್
ek khilari bawan pattey	ಏಕ್ ಖಿಲಾಡಿ ಬಾವನ್ ಪತ್ತೆ
ek kunwari ek kunwara	ಏಕ್ ಕುನ್ವಾರಿ ಏಕ್ ಕುನ್ವಾರಾ
ek masoom	ಏಕ್ ಮಾಸೂಮ್
ek musafir ek hasina	ಏಕ್ ಮುಸಾಫಿರ್ ಏಕ್ ಹಸೀನಾ
ek naav kinare do	ಏಕ್ ನಾವ್ ಕಿನಾರೆ ದೋ
ek naya itihaas	ಏಕ್ ನಹಾ ಇತಿಹಾಸ್
ek naya rishta	ಏಕ್ ನಯಾ ರಿಶ್ತಾ
ek phool char kante	ಏಕ್ ಪೂಲ್ ಚಾರ್ ಕಾಂಟೆ
ek phool ek bhool	ಏಕ್ ಪೂಲ್ ಏಕ್ ಭೂಲ್
ek raat	ಏಕ್ ರಾತ್
ek saal	ಏಕ್ ಸಾಲ್
ek sapera ek lutera	ಏಕ್ ಸಪೇರಾ ಏಕ್ ಲುಟೇರಾ
ek se badhkar ek	ಏಕ್ ಸೇ ಬಢಕರ್ ಏಕ್
ek se bhale do	ಏಕ್ ಸೇ ಭಲೆ ದೋ
ek shola	ಏಕ್ ಶೋಲಾ
ek shriman ek shrimati	ಏಕ್ ಶ್ರೀಮಾನ್ ಏಕ್ ಶ್ರೀಮತಿ
ekadant	ಏಕದಂತ
ekadashi	ಏಕಾದಶಿ
ekalavya	ಏಕಲವ್ಯ
ekalinga	ಏಕಲಿಂಗ
ekanga	ಏಕಾಂಗ
ekanjeet	ಏಕಂಜೀತ್
ekatma	ಏಕಾತ್ಮ
ekchari	ಎಕ್ಚಾರಿ
ekma	ಎಕ್ಮಾ
eknath solkar	ಏಕನಾಥ್ ಸೋಳ್ಕರ್
ekram	ಎಕ್ರಮ್
el chico el cimatario	ಎಲ್ ಚಿಕೊ ಎಲ್ ಸಿಮಾಟಾರಿಯೊ
el horria	ಎಲ್ ಹೋರಿಯಾ
el potosi	ಎಲ್ ಪೊಟೋಸಿ
el-arabia	ಅಲ್-ಅರೇಬಿಯಾ
el-nefous	ಅಲ್-ನೆಫಸ್
ela	ಇಳಾ
elamanur	ಎಲಮನೂರ್
elata	ಇಲಾಟಾ
elburz	ಎಲ್‌ಬುರ್ಜ್
elden	ಎಲ್ಡೆನ್
eldon	ಎಲ್ಡನ್
eldorado	ಎಲ್ಡೋರಾರ್ಡೊ
electricite de france	ಎಲೆಕ್ಟ್ರಿಸೈಟ್ ಡಿ ಫ್ರಾನ್ಸ್
electronic data system	ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡಾಟಾ ಸಿಸ್ಟಮ್
elgon	ಎಲ್‌ಗಾನ್
elham	ಎಲ್ಹಾಮ್
elie	ಈಲೀ
eliot	ಈಲಿಯಟ್
elise	ಎಲೈಸ್
elizabeth doll	ಎಲಿಜಬೆತ್ ಡಾಲ್
ellamanchili	ಎಲಮನ್ಚಿಲಿ
ellard	ಎಲಾರ್ಡ್
ellen	ಎಲೆನ್
ellesmere	ಎಲೆಸಮೆರಿ
ellison	ಎಲಿಸನ್
elmo	ಎಲ್ಮೋ
elsie	ಎಲ್ಸೀ
eltek	ಎಲ್ಟೆಕ್
elyas	ಎಲ್ಯಾಸ್
emanuele filiberto	ಇಮ್ಯಾನ್ಯುಯಲ್ ಫಿಲಿಬೆರ್ಟೋ
emarat	ಇಮಾರತ್
emberlynn	ಏಂಬರ್ಲಿನ್
embourg	ಎಂಬರ್ಗ್
emilie	ಎಮಿಲೀ
emirates tower two	ಎಮಿರೇಟ್ಸ್ ಟವರ್ ಟು
emma	ಎಮ್ಮಾ
emmly	ಎಮ್ಲಿ
emmy	ಎಮ್ಮಿ
empire macalpine	ಎಂಪೈರ್ ಮ್ಯಾಕ್‌ಆಲ್ಪೈನ್
encana	ಎಂಕಾನಾ
enel	ಎನೆಲ್
enid	ಎನಿಡ್
enrico	ಎನ್ರಿಕೋ
enya	ಎನ್ಯಾ
epifanio	ಎಪಿಫಾನಿಯೊ
epson	ಎಪ್ಸನ್
equestrian	ಈಕ್ವೆಸ್ಟ್ರಿಯನ್
equinox	ಈಕ್ವಿನಾಕ್ಸ್
erasmus	ಎರಾಸ್ಮಸ್
erespris	ಇರೆಸ್ಪೀಸ್
erhu	ಎರು
ernie	ಎರ್ನೀ
erode junction	ಈರೋಡ್ ಜಂಕ್ಷನ್
ertbrand	ಎರ್ಟ್‌ಬ್ರಾಂಡ್
erzherzog friedrich	ಎಜರ್‌ಜೋಗ್ ಫ್ರೆಡ್ರಿಚ್
erzherzog karl	ಎಜರ್‌ಜೋಗ್ ಕಾರ್ಲ್
escondido	ಎಸ್ಕೋಂಡಿಡೊ
escorts	ಎಸ್‌ಕಾರ್ಟ್ಸ್
eskalis	ಎಸ್ಕಾಲಿಸ್
essam	ಎಸ್ಸಾಂ
essar steel	ಎಸ್ಸಾರ್ ಸ್ಟೀಲ್
ester ind	ಎಸ್ಟರ್ ಇಂಡ್
estes	ಎಸ್ಟೀಸ್
etalan de yennenga	ಇಟಲನ್ ಡೆ ಯೆನೆಂಗಾ
etawah	ಇತಾವಾ
ethan allen homestead museum	ಎಥನ್ ಅಲ್ಲೆನ್ ಹೋಮ್‌ಸ್ಟೆಡ್ ಮ್ಯೂಸಿಯಂ
ethanael	ಈಥನೇಲ್
etosha	ಇತೋಷಾ
euridice	ಯ್ಯುರಿಡೈಸ್
europe	ಯೂರೋಪ್
europium	ಯೂರೋಪಿಯಂ
eurydice	ಯ್ಯೂರಿಡೈಸ್
evan	ಇವಾನ್
evan gray	ಈವನ್ ಗ್ರೇ
everett	ಎವರೆಟ್
evergreen community	ಎವರ್‌ಗ್ರೀನ್ ಕಮ್ಯುನಿಟಿ
evers	ಇವರ್ಸ್
excel	ಎಕ್ಸೆಲ್
exmouth	ಎಕ್ಸ್‌ಮೌಥ್
exxon mobile	ಎಕ್ಸಾನ್ ಮೊಬಿಲ್
exxon valdez	ಎಕ್ಸಾನ್ ವಲ್ಡೇಜ್
ezra moseley	ಎರ್ಜಾ ಮೂಸ್ಲಿ
faasle	ಫಾಸಲೆ
fabian	ಫೇಬಿಯನ್
fabienne	ಫೇಬಿಯನ್
fabio	ಫೇಬಿಯಾ
fadeelah	ಫದೀಲಾ
fadil	ಫಾದಿಲ್
fadl	ಫದಲ್
fado	ಫಾಡೊ
fahim	ಫಾಹಿಮ್
fahim muntasir	ಫಾಹಿಂ ಹುಸೇನ್
faiqah	ಫೈಕಾಹ್
faisal iqbal	ಫೈಸಲ್ ಇಕ್ಬಾಲ್
faizullapur	ಫೈಜುಲಾಪುರ್
fakhir	ಫಕೀರ್
fakhri	ಫಕ್ರಿ
fakhtah	ಫಕಾತಾಹ್
fakira	ಫಕೀರಾ
falak	ಫಲಕ್
falgun	ಫಲ್ಗುಣ್
falguni	ಫಲ್ಗುಣಿ
falna	ಫಲನಾ
family	ಫ್ಯಾಮಿಲಿ
fanish	ಫಣೀಶ್
faqih	ಫಕೀಹ್
faqir	ಫಕೀರ್
faqirah	ಫಕೀರಾಹ್
farah	ಫರಾ
farah town	ಫರಾಹ್ ಟೌನ್
farasat	ಫರಾಸತ್
fareb	ಫರೇಬ್
fareed	ಫರೀದ್
farhad	ಫರಹಾದ್
farhan	ಫರ್ಹಾನ್
farhat	ಫರ್ಹತ್
fari'ah	ಫರಿಯಾ
faridabadi	ಫರೀದಾಬಾದ್
farihah	ಫರಿಹಾ
farishta	ಫರಿಶ್ತಾ
farishta ya qatil	ಫರಿಶ್ತಾ ಯಾ ಕಾತಿಲ್
farmaish	ಫರ್ಮಾಯಿಶ್
faro	ಫರೋ
farokh	ಫಾರೂಕ್
farqad	ಫರ್ಕಾದ್
farrar	ಫರಾರ್
farrukh	ಫಾರ್ರುಖ್
faruca	ಫಾರೂಕಾ
faruk ahmed	ಫಾರುಕ್ ಅಹ್ಮದ್
faruq	ಫಾರುಖ್
faryadi	ಫರ್ಯಾದಿ
