abdalmalik	ﺍﺏﺩﻝﻡﺍﻝیک
moynes	ﻡﻭیﻥﺯ
munk	ﻡﺍﻥک
murphy	ﻡﺍﺭﻑی
murray	ﻡﺍری
nabil	ﻥﺍﺏیﻝ
nagasiva	ﻥﺍگﺍﺱیﻭﺍ
naimah	ﻥیﻡﺍ
nallick	ﻥﺍﻝیک
naquin	ﻥﺍکﻭییﻥ
narag	ﻥﺍرﺍگ
narayan	ﻥﺍرﺍیﺍﻥ
national	ﻥﺵﻥﺍﻝ
newsham	ﻥیﻭﺵﺍﻡ
nid	ﻥیﺩ
nikolic	ﻥیکﻭﻝیک
nils	ﻥیﻝﺱ
noble	ﻥﺍﺏﻝ
noor	ﻥﻭر
nugent	ﻥﺍگﻥﺕ
ober	ﺍﻭﺏﺭ
oborg	ﺍﺏﺭگ
obremski	ﺍﺏﺭﻡﺱکی
olafson	ﺍﻭﻝﺍﻑﺱﻭﻥ
oldcorn	ﺍﻭﻝﺩکﻭﺭﻥ
oltmann	ﺍﻝﺕﻡﻥ
omerry	ﺍﻭﻡری
ositis	ﺍﺱیﺕیﺱ
ostrin	ﺍﺱﺕﺭیﻥ
oswego	ﺍﻭﺱﻭگﻭ
oughton	ﺍﻭﻕﺕﻭﻥ
paglia	پﺍگﻝیﺍ
pahle	پﺍﻝ
palmo	پﺍﻝﻡﻭ
pancras	پﺍﻥکرﺍﺱ
panici	پﺍﻥیﺱی
paquet	پﺍکﻭﺍﺕ
park	پﺍﺭک
parrish	پﺍﺭیﺵ
pauli	پﺍﻝی
paull	پﺍیﻭﻝ
pedicini	پﺩیﺱیﻥی
pelletier	پﻝﺕییﺭ
pengadu	پﻥگﺍﺩﻭ
pengelly	پﻥگﻝی
perdicaro	پﺭﺩیکﺍﺭﻭ
perricone	پﺭیکﻥ
persson	پﺭﺱﻭﻥ
pesce	پﺵﻩ
petcher	پﺕچﺭ
petr	پیﺕر
pillich	پیﻝیچ
pinn	پیﻥ
pivot	پیﻭﺍﺕ
plache	پﻝچ
platkus	پﻝﺕکﻭﺱ
polepalli	پﻭﻝیپﺍﻝی
polo	پﻭﻝﻭ
pope	پﺍپ
porges	پﻭﺭﺝﺯ
posh	پﻭﺵ
prauda	پرﺍﻭﺩﺍ
probal	پرﻭﺏﺍﻝ
probst	پﺭﺍﺏﺱﺕ
profit	پرﺍﻑیﺕ
pulsifer	پﺍﻝﺱیﻑﺭ
pyziur	پیﺯیﺭ
qamra	کﻡرﺍ
querin	کﻭیﺭیﻥ
radcliff	ﺭﺍﺩکﻝیﻑ
radu	ﺭﺍﺩﻭ
rafaeli	ﺭﺍﻑﺍیﻝی
rafferty	ﺭﺍﻑﺭﺕی
ragnvald	ﺭﺍگﻥﻭﺍﻝﺩ
rainer	ﺭیﻥﺭ
rau	ﺭﺍﻭ
raverdy	ﺭﺍﻭﺭﺩی
reckeweg	ﺭکﻭگ
redondo	ﺭﺩﻭﻥﺩﻭ
rego	ﺭگﻭ
remmen	ﺭﻡﻥ
renalds	ﺭﻥﺍﻝﺩﺯ
renaud	ﺭﻥﺍﻭﺩ
rendar	ﺭﻥﺩﺭ
renish	رﻥیﺵ
reppert	ﺭپﺭﺕ
reymont	ﺭیﻡﺍﻥﺕ
rich	ﺭیچ
richmeyer	ﺭیچﻡیﺭ
richolson	ﺭیکﻭﻝﺱﻭﻥ
rijkaard	ریکﺍرﺩ
rising	ریﺯیﻥگ
ritacco	ﺭیﺕﺍکﻭ
rivard	ﺭیﻭﺍﺭﺩ
rivera	ﺭیﻭﺭﺍ
rizzo	ﺭیﺯﻭ
robel	ﺭﻭﺏﻝ
roepke	ﺭﻭپکﻩ
romulus	ﺭﺍﻡﻭﻝﻭﺱ
rongo	ﺭﻭﻥگﻭ
ronnen	ﺭﺍﻥﻥ
rosback	رﻭﺱﺏک
rosemarie	ﺭﻭﺯﻡﺍﺭی
rosenfeld	ﺭﺯﻥﻑﻝﺩ
rosenson	رﺯﻥﺱﻭﻥ
rostand	ﺭﻭﺱﺕﻥﺩ
rotunda	رﻭﺕﻭﻥﺩﺍ
rouch	ﺭﺍچ
roussel	رﺍﺱﻝ
rowsell	ﺭﻭﺱﻝ
rubie	ﺭﻭﺏی
ruebel	ﺭﻭیﺏﻝ
ruemmler	ﺭیﻭﻡﻝﺭ
ruholl	ﺭﻭﻩﻝ
rupp	رﺍپ
rusu	ﺭﺍﺱﻭ
ruthstrom	ﺭﺍﺕﺱﺕﺭﻭﻡ
ryan	رﺍییﺍﻥ
ryder	ﺭیﺩﺭ
rydquist	ﺭیﺩکﻭیﺱﺕ
saito	ﺱﺍیﺕﻭ
salazar	ﺱﺍﻝﺍﺯﺍﺭ
salerma	ﺱﺍﻝﺭﻡﺍ
salsman	ﺱیﻝﺯﻡﻥ
samaddar	ﺱﺍﻡﺍﺩﺍﺭ
sampath	ﺱﻡپﺕ
san	ﺱﺍﻥ
sanchez	ﺱﺍﻥچﺯ
sandberg	ﺱﻥﺩﺏﺭگ
santanna	ﺱﺍﻥﺕﺍﻥﺍ
sarma	ﺱﺍﺭﻡﺍ
sathaye	ﺱﺍﺕی
savarese	ﺱﺍﻭﺍﺭﺱ
savela	ﺱیﻭﻝﺍ
schaffer	ﺍﺱکﺍﻑر
scullin	ﺍﺱکﻭﻝیﻥ
seaver	ﺱیﻭﺭ
sedlak	ﺱﺩﻝﺍک
seelig	ﺱیﻝیگ
seitz	ﺱیﺕﺯ
serling	ﺱﺭﻝیﻥگ
serratosa	ﺱﺭﺍﺕﻭﺯﺍ
servideo	ﺱﺭﻭیﺩیﻭ
seth	ﺱﺕ
sethia	ﺱﺕیﺍ
sew	ﺱﻭ
seymour	ﺱیﻡﻭﺭ
shammar	ﺵﺍﻡﺍر
shanahan	ﺵﺍﻥﺍﻩﺍﻥ
shannon	ﺵﺍﻥﻭﻥ
shanson	ﺵﺍﻥﺱﻭﻥ
sharma	ﺵﺍرﻡﺍ
sharqiyah	ﺵرکیﺍﻩ
sheats	ﺵیﺕﺯ
shebs	ﺵﺏﺱ
shell	ﺵﻝ
sher	ﺵﺭ
sherr	ﺵر
shimin	ﺵیﻡیﻥ
shomer	ﺵﻭﻡﺭ
shortreed	ﺵﺭﺕﺭیﺩ
shults	ﺵﺍﻝﺕﺯ
siegler	ﺱیگﻝر
silcox	ﺱیﻝکﺍکﺱ
simin	ﺱیﻡیﻥ
simone	ﺱیﻡﻭﻥ
sina	ﺱیﻥﺍ
sislo	ﺱیﺱﻝﻭ
sisson	ﺱیﺱﻭﻥ
sit	ﺱیﺕ
sitaram	ﺱیﺕﺍﺭﺍﻡ
skene	ﺍﺱکیﻥ
slaney	ﺍﺱﻝیﻥی
slatkin	ﺍﺱﻝﺍﺕکیﻥ
smithwick	ﺍﺱﻡیﺕﻭیک
smoot	ﺍﺱﻡﻭﺕ
smythe	ﺍﺱﻡﺍیﺕ
snyder	ﺍﺱﻥﺍیﺩﺭ
solodov	ﺱﻝﻭﺩﻭﻑ
soma	ﺱﻭﻡﺍ
sophie	ﺱﻭﻑی
sorani	ﺱﻭﺭﺍﻥی
souza	ﺱﻭﺯﺍ
spike	ﺍﺱپﺍیک
spilite	ﺍﺱپیﻝیﺕ
sprayberry	ﺍﺱپﺭیﺏﺭی
stajano	ﺍﺱﺕﺍﺝﺍﻥﻭ
stannon	ﺍﺱﺕﻥﻭﻥ
star	ﺍﺱﺕﺍﺭ
stathis	ﺍﺱﺕﺍﺕیﺱ
stavely	ﺍﺱﺕیﻭﻝی
stermitz	ﺍﺱﺕرﻡیﺕﺯ
stinson	ﺍﺱﺕیﻥﺱﻥ
stoffel	ﺍیﻑﻭﻑﻝ
stoker	ﺍﺱﺕﺍکﺭ
stolcke	ﺍﺱﺕﺍﻝکﻩ
stoy	ﺍﺱﺕﻭی
strayer	ﺍﺱﺕﺭیﺭ
stremler	ﺍﺱﺕﺭﻡﻝﺭ
suffer	ﺱﻭﻑﺭ
suha	ﺱﻭﻩﺍ
sundeep	ﺱﺍﻥﺩیپ
surgeon	ﺱرﺝیﻭﻥ
susalis	ﺱﻭﺯﺍﻝیﺱ
susanne	ﺱﻭﺯﺍﻥﻩ
suze	ﺱﻭﺯ
swafford	ﺱﻭﺍﻑﻭﺭﺩ
swain	ﺍﺱﻭﺍیﻥ
sylvie	ﺱیﻝﻭی
tafilah	ﺕﻉﻑیﻝﻩ
tahsin	ﺕﺡﺱیﻥ
talibah	طﻝیﺏﺍ
tallan	ﺕﺍﻝﺍﻥ
tariq	طریﻕ
tate	ﺕیﺕ
tatsuro	ﺕﺍﺕﺱﻭﺭﻭ
tegelberg	ﺕگﻝﺏﺭگ
teh	ﺕﻩ
tempelman	ﺕﻡپﻝﻡﻥ
templeton	ﺕﻡپﻝﺕﻭﻥ
terrace	ﺕﺭﺍﺱﻩ
terran	ﺕﺭﺍﻥ
terris	ﺕﺭیﺱ
teshima	ﺕﺵیﻡﺍ
thief	ﺕیﻑ
thornton	ﺕرﻥﺕﻥ
tichauer	ﺕیچﺍﻭﺭ
tillemans	ﺕیﻝﻡﺍﻥز
tipul	ﺕیپﺍﻝ
title	ﺕﺍﺕﻝ
tofferi	ﺕﻭﻑﺭی
tolvanen	ﺕﺍﻝﻭﺍﻥﻥ
tomlinson	ﺕﺍﻡﻝیﻥﺱﻭﻥ
toms	ﺕﺍﻡﺯ
tonjes	ﺕﺍﻥﺝﺱ
trapp	ﺕﺭﺍپ
trough	ﺕﺭﻭ
trown	ﺕﺭﺍﻭﻥ
tuglu	ﺕﺍگﻝﻭ
tunen	ﺕﺍﻥﻥ
tyree	ﺕﺍیﺭ
tysinger	ﺕیﺱیﻥﺝﺭ
underhill	ﺍﻥﺩرﻩیﻝ
urban	ﺍﺭﺏﺍﻥ
vaggen	ﻭﺍگﻥ
valur	ﻭﺍﻝﻭﺭ
vandenburgh	ﻭﺍﻥﺩﻥﺏﺭﻕ
vanecek	ﻭﺍﻥﺱک
vangelder	ﻭﻥﺝﻝﺩﺭ
vee	ﻭی
velez	ﻭیﻝﺯ
vianen	ﻭیﺍﻥﻥ
viren	ﻭیﺭﻥ
viviane	ﻭیﻭیﺍﻥﻩ
vollum	ﻭﺍﻝﻭﻡ
wackerfuss	ﻭکﺭﻑﺍﺱ
wales	ﻭﺍﻝﺯ
wass	ﻭﺍﺱ
watsen	ﻭﺍﺕﺱﻥ
weidman	ﻭیﺩﻡﺍﻥ
westerholm	ﻭﺱﺕﺭﻩﻝﻡ
weston	ﻭﺱﺕﻥ
whadzen	ﻭﺍﺩﺯﻥ
whittle	ﻭیﺕﻝ
wibowo	ﻭیﺏﻭﻭﻭ
wick	ﻭیک
widad	ﻭیﺩﺍ
widall	ﻭیﺩﺍﻝ
wietse	ﻭیﺕﺱﻩ
wilford	ﻭیﻝﻑﺭﺩ
willner	ﻭیﻝﻥﺭ
winkler	ﻭیﻥکﻝر
winz	ﻭیﻥﺯ
wisal	ﻭیﺱﺍﻝ
wolpert	ﻭﻝپرﺕ
woodsprite	ﻭﺩﺍﺱپرﺍیﺕ
woten	ﻭﻭﺕﻥ
xaver	ﺯیﻭر
yake	ییک
yaminah	یﺍﻡیﻥﺍ
yanowitz	یﺍﻥﻭﻭیﺕﺯ
yoseph	یﻭﺱﻑ
zamore	ﺯﺍﻡﻭﺭ
zapara	ﺯﺍپﺍﺭﺍ
zaria	زری
zemel	ﺯیﻡﻝ
zirilli	ﺯیﺭیﻝی
