AACHEN	아헨
CELIA	셀리아
CELLINI	첼리니
CELSO	세르소
CENDRARS	상드라르
CENNINI	첸니니
CERVANTES	세르반테스
CESALPINO	체살피노
CESARE	체사레
CESAROTTI	체사로티
CEYLON	실론
CHABRIER	샤브리에
CHAD	차드
CHADWICK	채드윅
CHAGALL	샤갈
CHAIM	카임
CHAIN	체인
CHAMAI	차마이
CHAMBERLAIN	체임벌린
CHAMBERLIN	체임벌린
CHAMBERS	체임버스
CHAMISSO	샤미소
CHAMORRO	차모로
CHAMPAIGNE	상파뉴
CHAMPLAIN	샹플랭
CHAMPOLLION	샹폴리옹
CHAMSON	샹송
CHAN	챈
CHANDLER	챈들러
CHANDRA	찬드라
CHANDRASEKHAR	찬드라세카르
CHANEL	샤넬
CHAO	차오
CHAPLIN	채플린
CHAPMAN	채프먼
CHAPPE	샤프
CHAPSAL	샤프살
CHAPTAL	샤프탈
CHARDONNE	샤르돈
CHARLES	찰스
CHARLESTON	찰스턴
CHARLIE	찰리
CHARLOTTE	샬럿
CHARLOTTETOWN	샬럿타운
CHARLTON	찰턴
CHARPENTIER	샤르팡티에
CHATEAUBRIAND	샤토브리앙
CHATTANOOGA	채터누가
CHATTERJEE	차터지
CHATTERTON	채터턴
CHAUCER	초서
CHAUMONT	쇼몽
CHAUNCEY	첸시
CHAUSSON	쇼송
CHAUTEMPS	쇼탕
CHAVEZ	차베스
CHEDDAR	체더
CHEKHOV	체호프
CHELMSFORD	첼름스퍼드
CHEMNITZ	켐니츠
CHENEY	체니
CHERENKOV	체렌코프
CHERNENKO	체르넨코
CHERNOV	체르노프
CHERRY	체리
CHESHIRE	체셔
CHESS	체스
CHESTER	체스터
CHESTERFIELD	체스터필드
CHESTERTON	체스터턴
CHEVALIER	슈발리에
CHEVROLET	시보레
CHEYENNE	샤이엔
CHIANTI	칸티
CHICAGO	시카고
CHICHESTER	치체스터
CHILDE	차일드
CHILE	칠레
CHIPMAN	치프먼
CHIPPENDALE	치펜데일
CHISINAU	치시나우
CHISSANO	시사노
CHOISEUL	쇼아줄
CHOMSKY	촘스키
CHOPIN	쇼팽
CHOPRA	초프라
CHRIS	크리스
CHRIST	구세주
CHRISTA	크리스
CHRISTCHURCH	크라이스트처치
CHRISTENSON	크리스턴슨
CHRISTIAN	크리스천
CHRISTIE	크리스티
CHRISTINA	크리스티나
CHRISTOPHE	크리스토프
CHRISTOPHER	크리스토퍼
CHURCHILL	처칠
CHUVASH	추바슈
CIAMPI	참피
CIANO	치아노
CICERO	키케로
CIENFUEGOS	시엔푸에고스
CIGNA	시그나
CINCINNATUS	킨키나투스
CINDY	신디
CIRIACO	크리아코
CLAES	클라스
CLAPEYRON	클라페롱
CLARA	클라라
CLARENCE	클래런스
CLARENDON	클래런던
CLARK	클라크
CLAUDE	클라우데
CLAUDIA	클라우디아
CLAUDIO	클라우디오
CLAUDIUS	클라우디우스
CLAUS	클라우스
CLAUSEN	클로젠
CLAUSEWITZ	클라우제비츠
CLAUSIUS	클라우지우스
CLAXTON	클렉스턴
CLAYTON	클레이턴
CLEARWATER	클리어워터
CLEMENS	클레멘스
CLEMENTI	클레멘티
CLEMENTS	클레먼츠
CLEVE	클레베
CLEVELAND	클리블랜드
CLIFFORD	클리퍼드
CLIFTON	클리프턴
CLINTON	클린턴
CLIVE	클라이브
CLOUGH	클라프
CLOUZOT	클루조
COBALT	코발트
COBURN	코번
COCHET	코쉐
COCHIN	코친
COCHRANE	코크런
COHAN	코핸
COHEN	코언
COHN	콘
COIGNET	코와니에
COIMBRA	코임브라
COITER	코이터
COKER	코커
COLBERT	콜베르
COLE	콜
COLEMAN	콜맨
COLERIDGE	콜리지
COLETTE	콜레트
COLGATE	콜게이트
COLIN	콜랭
COLLETT	콜레트
COLLIER	콜리어
COLLIN	콜린
COLLINS	콜린스
COLMAN	콜먼
COLMAR	콜마르
COLOGNE	쾰른
COLOMBIA	콜롬비아
COLOMBO	콜롬보
COLORADO	콜로라도
COLT	콜트
COLUMBIA	컬럼비아
COLUMBUS	콜럼버스
COMENIUS	코메니우스
COMMONS	코먼스
COMO	코모
COMOROS	코모로
COMPTON	콤프턴
COMTE	콩트
CONAKRY	코나크리
CONCEPCION	콘셉시온
CONCORD	콩코드
CONDILLAC	콩디야크
CONDORCET	콩도르세
CONGO	콩고
CONNAUGHT	코넛
CONNECTICUT	코네티컷
CONNELLY	코널리
CONNOLLY	코널리
CONNOR	코너
CONRAD	콘래드
CONSTANCE	콘스탄스
CONSTANT	콩스탕
CONSTANTIN	콘스탄틴
CONSTANTINE	콩스탕틴
CONSTANTINESCU	콘스탄티네스쿠
CONTE	콩테
CONTI	콘티
COOLIDGE	쿨리지
COOPER	쿠퍼
COPE	코프
COPENHAGEN	코펜하겐
COPERNICUS	코페르니쿠스
COPLAND	코플랜드
COPPOLA	코플라
CORAL	코롤
CORBIN	코빈
CORNEILLE	코르네유
CORNELIO	코르넬리오
CORNELIS	코르넬리스
CORNELIUS	코르넬리우스
CORNELL	코넬
CORNFORTH	콘포스
CORNWALL	콘월
CORNWELL	콘월
CORRADI	코라디
CORSICA	코르시카
CORTONA	코르토나
COSSA	코사
COTTBUS	콧부스
COUBERTIN	쿠베르탱
COUNT	카운트
COUPERIN	쿠프랭
COUPLET	쿠플레
COURNOT	쿠르노
COURTELINE	쿠르틀린
COURTOIS	쿠르투아
COUSIN	쿠쟁
COUTO	코투
COVENTRY	코번트리
COVINGTON	코빙턴
COWPER	쿠퍼
COX	콕스
CRABBE	크래브
CRAIG	크레이그
CRAM	크램
CRANACH	크라나흐
CRANE	크레인
CRASHAW	크래쇼
CRAWFORD	크로퍼드
CREMER	크리머
CREMONA	크레모나
CRESPO	크레스포
CRESSENT	크레상
CRESSON	크레송
CRISPI	크리스피
CRISPIN	크리스피누스
CRIVELLI	크리벨리
CROATIA	크로아티아
CROCE	크로체
CROCKER	크로커
CROME	크롬
CROMER	크로머
CROMMELYNCK	크롬랭크
CROMPTON	크럼프턴
CROMWELL	크롬웰
CRONACA	크로나카
CRONIN	크로닌
CROSBY	크로스비
CRUYFF	크루이프
CRUZ	크루스
CUBA	쿠바
CUBE	큐빅
CUDWORTH	커드워스
CUGNOT	퀴뇨
CUKOR	쿠커
CUMBERLAND	컴벌랜드
CUMMINGS	커밍스
CUNNINGHAM	커닝엄
CUOMO	쿠오모
CUREL	퀴렐
CURIE	퀴리
CURT	쿠르트
CURTIS	커티스
CURTIUS	쿠르티우스
CURTIZ	커티스
CURZON	커즌
CUSHING	쿠싱
CUTHBERT	커스버트
CUVIER	퀴비에
CYPRUS	사이프러스
CYRANKIEWICZ	치란키에비치
CYRIL	키릴로스
CYRUS	키로스
CZECH	체코
CZERNY	체르니
DACCA	다카
DAFOE	데포
DAGERMAN	다게르만
DAHL	달
DAHLMANN	달만
DAIMLER	데임러
DAISY	다이시
DAKAR	다카르
DALADIER	달라디에
DALCROZE	달크로즈
DALE	데일
DALEY	데일리
DALIN	달린
DALLAPICCOLA	달라피콜라
DALLAS	댈러스
DALTON	달톤
DAM	담
DAMASCUS	다마스쿠스
DAMIANI	다미아니
DAMON	데이먼
DAMPIER	댐피어
DAN	단
DANA	데이나
DANE	데인
DANFORTH	댄포스
DANIEL	다니엘
DANIELI	다니엘리
DANIELL	다니엘
DANIELS	대니얼스
DANIELSSON	다니엘손
DANNEMANN	다네만
DANNY	다니
DANTE	단테
DANTON	당통
DANZIG	단치히
DAPHNE	다프네
DARBY	다비
DARIO	다리오
DARIUS	다리우스
DARLING	달링
DARLINGTON	달링턴
DARMSTADT	다름슈타트
DART	다트
DARTMOUTH	다트머스
DARWIN	다윈
DAUDET	도데
DAUGHERTY	도허티
DAUMIER	도미에
DAUSSET	도세
DAVE	데이브
DAVENPORT	대븐포트
DAVID	다비드
DAVIDS	다비츠
DAVIDSON	데이비슨
DAVIES	데이비스
DAVIS	데이비스
DAVISSON	데이비슨
DAVY	데이비
DAWES	도스
DAWKINS	도킨스
DAWN	돈
DAWSON	도슨
DAYAN	다얀
DAYTON	데이턴
DEAKIN	디킨
DEAN	딘
DEAVER	디버
DEBORAH	데보라
DEBREU	드브뢰
DEBS	데브스
DEBUSSY	드뷔시
DEBYE	디바이
DEDEKIND	데데킨트
DEFOE	디포
DEGAS	드가
DEHMEL	데멜
DEIRDRE	데어드르
DEISSMANN	다이스만
DELANE	딜레인
DELANO	딜라노
DELAUNAY	들로네
DELAWARE	델라웨어
DELHI	델리
DELIA	델리아
DELIBES	들리브
DELIUS	딜리어스
DELON	드롱
DELTA	델타
DEMBINSKI	뎀빈스키
DEMETER	데메테르
DENEUVE	드뇌브
DENIKIN	데니킨
DENIS	데니스
DENISE	데니즈
DENMARK	덴마크
DENNIS	데니스
DENNY	데니
DENT	텐트
DENVER	덴버
DENZEL	덴절
DERBY	더비
DERBYSHIRE	더비셔
DEREK	데릭
DERN	던
DERZHAVIN	데르자빈
DESAI	데사이
DESCHAMPS	데샹
DESIDERIUS	데시데리우스
DESMOND	데즈먼드
DESMOULINS	데물랭
DESNOS	데스노스
DESPIAU	데스피오
DESSAU	데사우
DETROIT	디트로이트
DEVI	데비
DEVILLE	드빌
DEVON	데번
DEVONSHIRE	데번셔
DEWAR	듀어
DEWEY	듀이
DIALLO	디앨로
DIANA	디아나
DIANE	다이안
DIAS	디어스
DIAZ	디아스
DICEY	다이시
DICHEV	디체프
DICK	딕
DICKENS	디킨즈
DICKINSON	디킨슨
DIDEROT	디드로
DIEFENBAKER	디펜베이커
DIEGO	디에고
DIESEL	디젤
DIETER	디트르
DIETRICH	디트리시
DIETZGEN	디츠겐
DILLON	딜런
DILTHEY	딜타이
DIMITRI	디미트리
DIMITROV	디미트로프
DINES	다인스
DINGLER	딩글러
DINO	디노
DIOCLETIANUS	디오클레티아누스
DIOGENES	디오게네스
DION	디옹
DIONYSIUS	디오니시
DIOR	디오르
DIOUF	디우프
DIRAC	디랙
DIRICHLET	디리클레
DISCOVERY	디스커버리
DISNEY	디즈니
DISRAELI	디즈레일리
DIX	딕스
DIXIE	딕시
DJIBOUTI	지부티
DJILAS	질라스
DLAMINI	들라미니
DMITRI	드미트리
DMOWSKI	드모프스키
DNEPROPETROVSK	드네프로페트로프스크
DNIEPER	드네프르
DOBRIANSKY	도브리언스키
DOBROLYUBOV	도브룰류보프
DOBSON	도브슨
DODD	다드
DODDS	도즈
DODGE	다지
DODOMA	도도마
DODSON	닷슨
DOE	도
DOHA	도하
DOHERTY	도허티
DOISY	도이지
DOLAN	돌런
DOLCE	돌체
DOLE	돌
DOLLAR	달러
DOLPH	돌프
DOLPHIN	돌핀
DOMINGO	도밍고
DOMINIC	도미니크
DOMINIQUE	도미니크
DON	단
DONAHUE	도나휴
DONALD	도널드
DONALDSON	도날드슨
DONAT	도나트
DONATUS	도나투스
DONEN	도넌
DONGEN	동겐
DONNA	도나
DONNAY	도네
DONNE	던
DONOVAN	도노번
DOOLITTLE	둘리틀
DOPPLER	도플러
DOPSCH	도프슈
DORAN	도런
DORCHESTER	도체스터
DORDRECHT	도르트레히트
DOREEN	도린
DORIA	도리아
DORIAN	도리안
DORIS	도리스
DORN	돈
DORNBUSCH	돈부시
DORNIER	도르니에
DOROTHY	도로시
DORSET	도세트
DORSEY	도어시
DORTMUND	도르트문트
DOUGLAS	더글러스
DOUMERGUE	두메르그
DOVER	도버
DOVZHENKO	도프젠코
DOWDEN	다우든
DOWDESWELL	도데스벨
DOWIYOGO	도위요고
DOWLAND	다울런드
DOWLING	다울링
DOWNEY	도니
DOWNING	다우닝
DOWNS	다운스
DOWSON	다우슨
DOYLE	도일
DRAGAN	드라간
DRAKE	드레이크
DRAPER	드레이퍼
DREISER	드라이저
DRESDEN	드레스덴
DREW	드류
DREXLER	드렉슬러
DREYFUS	드레퓌스
DRIESCH	드리슈
DRINKWATER	드링크워터
DRIVER	드라이버
DROZDOVA	드로즈도바
DRUCKER	드러커
DRURY	드루어리
DRYDEN	드라이든
DUANE	듀안
DUARTE	두아르테
DUBCEK	두브체크
DUBE	두베
DUBININ	두비닌
DUBLIN	더블린
DUBOIS	뒤부아
DUBROVNIK	두브로브니크
DUCHAMP	뒤샹
DUCLOS	뒤클로
DUCOMMUN	뒤코묑
DUDLEY	더들리
DUER	듀어
DUFOUR	두포봉
DUFY	뒤피
DUGAN	듀건
DUHEM	뒤엠
DUISBURG	뒤스부르크
DUISENBERG	도이센베르흐
DUKAS	뒤카
DUKE	듀크
DULBECCO	둘베코
DULLES	덜레스
DULUTH	덜루스
DUMAS	뒤마
DUMITRU	두미트루
DUNANT	뒤낭
DUNCAN	덩컨
DUNDEE	던디
DUNKIRK	뒹케르크
DUNLOP	던롭
DUNN	던
DUNSANY	던세이니
DUNSTABLE	던스터블
DUPLEIX	뒤플렉스
DUPUY	뒤퓨이
DURANGO	두랑고
DURANT	듀랜트
DURBAN	더반
DURHAM	더럼
DURKHEIM	뒤르켐
DUSHANBE	두샨베
DUSTIN	더스틴
DUTTON	듀톤
DUVAL	듀발
DUVALIER	뒤발리에
DUVALL	듀발
DUVIVIER	뒤비비에
DVORAK	드보르작
DYER	다이어
DYLAN	딜런
DYSON	다이슨
EADS	이즈
EAKINS	에이킨스
EAMES	임스
EAMON	에이먼
EARL	얼
EAST	동방
EASTMAN	이스트먼
EASTON	이스턴
EASTWOOD	이스트우드
EBBINGHAUS	에빙하우스
EBERT	에베르트
ECCLES	에클스
ECEVIT	에제비트
ECK	에크
ECKARDT	에카르트
ECKER	에커
ECKERMANN	에커만
ECKERSLEY	에커슬리
ECKERT	에케르트
ECKHART	에크하르트
ECUADOR	에콰도르
EDDINGTON	에딩턴
EDELMAN	에덜먼
EDELSTEIN	에델스테인
EDEN	에덴
EDER	에더
EDGAR	에드가르
EDGEWORTH	에지워스
EDINBURGH	에든버러
EDISON	에디슨
EDITH	에디트
EDKINS	애드킨스
EDMOND	에드몽
EDMONTON	에드먼턴
EDMUND	에드먼드
EDMUNDO	에드몬드
EDNA	에드나
EDOUARD	에두아르
EDUARD	에두아르트
EDUARDO	에두아르도
EDVARD	에드바르
EDWARD	에드바르트
EDWARDS	에드워즈
EDWIN	에드윈
EGBERT	에그버트
EGGLESTON	에글스턴
EGON	에곤
EGOROV	예고로프
EGYPT	이집트
EHRENBURG	에렌부르그
EHRENFELD	에런펠드
EHRLICH	에를리히
EICHENDORFF	아이헨도르프
EICHMANN	아이히만
EIFFEL	에펠
EIGEN	아이겐
EIJKMAN	에이크만
EIKHENBAUM	에이헨바움
EILEEN	아일린
EINDHOVEN	에인트호벤
EINHORN	아인혼
EINSTEIN	아인슈타인
EINTHOVEN	에인트호벤
EISENHOWER	아이젠하워
EISENSTADT	아이젠슈타트
EISENSTAEDT	아이젠스타트
EISENSTEIN	아이젠슈타인
EKATERINA	예카테리나
EKMAN	에크만
ELAINE	일레인
ELAM	엘람
ELBA	엘바
ELDER	엘더
ELEANOR	엘리너
ELENA	엘레나
ELGAR	엘가
ELGIN	엘긴
ELI	엘리
ELIA	엘리아
ELIADE	엘리아데
ELIAS	엘리아스
ELIE	엘리
ELIEZER	엘리에제르
ELIJAH	엘리야
ELION	엘리언
ELIOT	엘리어트
ELISABETH	엘리자베스
ELIZABETH	엘리자베스
ELLA	엘라
ELLEN	엘렌
ELLERY	엘러리
ELLESMERE	엘즈미어
ELLIE	엘리
ELLINGTON	엘링턴
ELLIOT	엘리어트
ELLIS	엘리스
ELLISON	엘리슨
ELLSWORTH	엘즈워스
ELMAN	엘먼
ELMER	엘머
ELS	엘스
ELSA	엘자
ELSHEIMER	엘스하이머
ELSIE	엘시
ELSTER	엘스터
ELTON	엘튼
ELY	일리
ELZEVIR	엘제비어
EMANUEL	에마누엘
EMERIC	이메릭
EMERSON	에머슨
EMIL	에밀
EMILE	에밀
EMILIO	에밀리오
EMILY	에밀리
EMINESCU	에미네스쿠
EMMA	에마
EMMANUEL	에마뉘엘
EMPSON	엠프슨
EMS	엠스
ENCKE	엥케
ENDERS	엔더스
ENDRE	엔드레
ENESCO	에네스코
ENGEL	엥겔
ENGELBERT	엥겔버트
ENGELS	엥겔스
ENGLER	엥글러
ENOCH	에녹
ENOS	에노스
ENRICO	엔리코
ENRIQUE	엔리케
ENSOR	엔소르
ENTEBBE	엔테베
ENVER	엔베르
EPHESUS	에페수스
EPHRAIM	에프라임
EPIRUS	에피루스
EPSTEIN	엡스타인
ERASMUS	에라스무스
ERASTUS	에라스투스
ERBAKAN	에르바칸
ERDMANN	에르드만
ERFURT	에르푸르트
ERHARD	에르하르트
ERIC	에릭
ERICA	에리카
ERICH	에리히
ERICK	에릭
ERICSSON	에릭슨
ERIK	에리크
ERIKSEN	에릭센
ERIKSON	에릭슨
ERIKSSON	에릭손
ERIN	에린
ERITREA	에리트레아
ERLANGER	얼랭어
ERMANNO	에라만노
ERNEST	어니스트
ERNESTINE	어니스틴
ERNESTO	에르네스토
ERNST	에른스트
ERROL	에럴
ERSKINE	어스킨
ERVING	어빙
ERWIN	어윈
ESAIAS	에사이아스
ESCHENBACH	에셴바흐
ESCHER	에셔
ESCOFFIER	에스코피에
ESENIN	예세닌
ESPEJO	에스페호
ESPINOZA	에스피노자
ESPOSITO	에스포시토
ESPRONCEDA	에스프론세다
ESPY	에스피
ESSEN	에센
ESSEX	에식스
ESTEBAN	에스테반
ESTELLE	에스텔
ESTHER	에스더
ESTONIA	에스토니아
ESTRADA	에스트라다
ESTREMADURA	에스트레마두라
ETCHEVERRY	에취베리
ETHAN	이선
ETHEL	에델
ETHIOPIA	에티오피아
ETIENNE	에티엔
EUCKEN	오이켄
EUCLID	유클리드
EUDORA	유도라
EUGEN	오이겐
EUGENE	유진
EUGENIO	에우제니오
EULER	오일러
EUNICE	유니스
EURASIA	유라시아
EUROPE	유럽
EUSEBIO	에우세비우
EUSTACHIO	유스타키오
EVAN	에번
EVANS	에번스
EVANSON	에반슨
EVANSVILLE	에번즈빌
EVE	이브
EVELYN	에벌린
EVEREST	에베레스트
EVERETT	에버렛
EVERHART	에버하트
EVERS	에버스
EVERSON	에버슨
EWALD	에발
EWING	유잉
EXETER	엑서터
EYCK	에이크
EYRE	에어
EYRING	아이링
EYSENCK	아이선크
EYSTEIN	에스타인
EZEKIEL	에제키엘
EZER	에제르
EZRA	에스라
FABIAN	파비안
FABRY	파브리
FADEEV	파데예프
FAHIM	파힘
FAHMI	파미
FAIRBANKS	페어뱅크스
FAITH	페이스
FAIZ	페이즈
FAJANS	파얀스
FALCONE	팔코네
FALCONET	팔코네
FALKBERGET	팔크베르게
FALKLAND	포클랜드
FALLOPIUS	팔로피우스
FANNING	패닝
FANNY	파니
FANO	파노
FANON	파농
FARADAY	패러디
FARBER	파버
FARJEON	파전
FARLEY	팔리
FARMINGTON	파밍턴
FAROUK	파루크
FARRELL	패럴
FARREN	패런
FAULKNER	포크너
FAURE	포레
FAUST	파우스트
FAYE	페이
FAZAL	파잘
FEATHERSTONE	피더스톤
FECHNER	페히너
FEDERICO	페데리코
FEDIN	페딘
FEETHAM	피샘
FEINBERG	파인버그
FEININGER	파이닝어
FELDMAN	펠드만
FELDSTEIN	펠드스타인
FELIPE	펠리페
FELIX	펠릭스
FERDINAND	페르디난드
FERENC	페렌츠
FERGUSON	퍼거슨
FERN	펀
FERNAND	페르낭
FERNANDEZ	페르난데스
FERNANDO	페르난도
FERRANTE	페란트
FERRARA	페라라
FERRARI	페라리
FERRE	페레
FERREIRA	페레이라
FERRY	페리
FESSENDEN	페센덴
FESTUS	페스터스
FET	페트
FEUCHTWANGER	포이히트방거
FEUERBACH	포이어바흐
FEYNMAN	파인먼
FIBIGER	피비게르
FICHTE	피히테
FICINO	피치노
FIDEL	피델
FIEDLER	피들러
FIELD	필드
FIELDING	필딩
FIJI	피지
FILCHNER	필히너
FILIP	필리프
FILIPOV	필리포프
FILIPPO	필리포
FILLMORE	필모어
FILMER	필머
FINI	피니
FINLAND	핀란드
FINN	핀
FINNEY	피니
FINSEN	핀센
FIONA	피오나
FIORENTINO	피오렌티노
FIORI	피오리
FIRESTONE	파이어스톤
FIRTH	퍼스
FISCHER	피셔
FISHER	피셔
FISK	피스크
FISKE	피스크
FITCH	피치
FITTIG	피티히
FITZ	피츠
FITZGERALD	피츠제럴드
FITZPATRICK	피츠패트릭
FIZEAU	피조
FLAGSTAD	플라그스타
FLAHERTY	플라어티
FLAMSTEED	플램스티드
FLANAGAN	플래너건
FLANDERS	플랜더스
FLAUBERT	플로베르
FLAVIO	플라비오
FLAVIUS	플라비우스
FLAXMAN	플랙스먼
FLEET	플리트
FLEISCHER	플라이셔
FLEMMING	플레밍
FLESCH	플레쉬
FLETCHER	플래처
FLINT	플린트
FLORA	플로라
FLORENCE	플로렌스
FLORES	플로레스
FLOREY	플로리
FLORIAN	플로리안
FLORIDA	플로리다
FLORIN	플로린
FLORY	플로리
FLYNN	플린
FO	포
FOCH	포슈
FOCKE	포케
FOERSTER	푀르스터
FOGAZZARO	포가차로
FOGEL	포겔
FOGGIA	포지아
FOKKER	포커
FOLEY	폴리
FONDA	폰다
FONSECA	폰세카
FONTAINE	퐁텐
FONTAINEBLEAU	퐁텐블로
FONTANA	폰타나
FONTANE	폰타네
FONTEYN	폰테인
FONVIZIN	폰비진
FOOTE	푸트
FORBES	포브스
FORD	포드
FORESTER	포레스터
FORLANI	폴라니
FORMAN	포르만
FORST	포르스트
FORSTER	포스터
FORT	포르
FORTUNE	포천
FOSTER	포스터
FOUCAULT	푸코
FOUQUET	푸케
FOURIER	푸리에
FOURNIER	푸르니에
FOWLER	파울러
FOWLES	파울즈
FOX	폭스
FRAGONARD	프라고나르
FRAKES	프레이크
FRAN	프란
FRANCE	프랑스
FRANCES	프랜시스
FRANCESCA	프란체스카
FRANCESCO	프란체스코
FRANCIS	프랑시스
FRANCISCO	프란시스코
FRANCK	프랑크
FRANCKE	프랑케
FRANCO	프랑코
FRANCOIS	프랑수아
FRANK	프랑크
FRANKEL	프란켈
FRANKEN	프랑켄
FRANKENSTEIN	프랑켄슈타인
FRANKFORT	프랭크퍼트
FRANKFURT	프랑크푸르트
FRANKLAND	프랭클랜드
FRANKLIN	프랭클린
FRANKS	프랭크스
FRANS	프란스
FRANZ	프란츠
FRASER	프레이저
FRAUNHOFER	프라운호퍼
FRAZER	프레이저
FRAZIER	프레이저
FRECHETTE	프레셰트
FRED	프레드
FREDA	프레다
FREDERIC	프레더릭
FREDERICK	프레드릭
FREDERICTON	프레더릭턴
FREDERIK	프레데리크
FREEMAN	프리먼
FREEMANTLE	프리맨틀
FREETOWN	프리타운
FREGE	프레게
FREI	프레이
FREIBERG	프라이버그
FREIBURG	프라이부르크
FREILIGRATH	프라일리그라트
FRENCH	프렌치
FRENCHMAN	프랑스인
FRESNEL	프레넬
FRESNO	프레즈노
FREUD	프로이트
FREUDENTHAL	프로이덴탈
FREY	프로이
FREYA	프로이야
FREYSSINET	프레이시넷
FREYTAG	프라이타크
FRICHE	프리체
FRICK	프릭
FRIDTJOF	프리드쇼프
FRIED	프라이드
FRIEDMAN	프리드만
FRIEDRICH	프리드리히
FRIES	프리스
FRISCH	프리슈
FRITS	프리츠
FRITSCH	프리치
FRITZ	프리츠
FROBENIUS	프로베니우스
FROMENTIN	프로망탱
FROMM	프롬
FRONTINUS	프론티누스
FROST	프로스트
FRUNZE	프룬제
FRYER	프라이어
FUENTES	푸엔테스
FULBRIGHT	풀브라이트
FULLER	풀러
FULLERTON	풀러턴
FULTON	풀턴
FUNAFUTI	푸나푸티
FUNK	풍크
FUNKE	풍케
FURMANOV	푸르마노프
GABIN	가뱅
GABLE	게이블
GABON	가봉
GABORONE	가보로네
GABRIEL	가브리엘
GABRIELA	가브리엘라
GABRIELE	가브리엘레
GABRIELI	가브리엘리
GABRIELLE	가브리엘
GADAMER	가다머
GADDA	가다
GAEDE	게데
GAETANO	가에타노
GAIA	가이아
GAIL	게일
GAILLARD	가이야르
GAINSBOROUGH	게인즈버러
GAIRDNER	게어드너
GAITSKELL	게이츠켈
GAJ	가이
GAJDUSEK	가이듀섹
GALBRAITH	캘브레이스
GALE	게일
GALILEI	갈릴레이
GALILEO	갈릴레오
GALL	갈
GALLAGHER	갤러거
GALLAND	갈랑
GALLE	갈
GALLIO	갈리오
GALLONI	갤로니
GALLUP	갤럽
GALPIN	갈핀
GALSWORTHY	골즈워디
GALTON	골턴
GALTUNG	갈퉁
GALVANI	갈바니
GALWAY	골웨이
GAMA	가마
GAMARRA	가마라
GAMBETTA	강베타
GAMBIA	감비아
GAMBIER	갬비어
GAMBLE	갬블
GANCE	강스
GANDHI	간디
GANGES	갠지스
GANTT	갠트
GAPON	가폰
GARANG	가랑
GARBO	가르보
GARBORG	가르보르그
GARCIA	가르시아
GARDINER	가드너
GARDNER	가드너
GARETH	개리스
GARFIELD	가필드
GARIBALDI	가리발디
GARLAND	갈런드
GARNER	가너
GARNETT	가넷
GARNIER	가르니에
GARR	가
GARRETT	가레트
GARRICK	개릭
GARRIS	가레스
GARRISON	개리슨
GARRY	게리
GARSHIN	가르신
GARVEY	가비
GARY	게리
GASCOIGNE	개스코인
GASCOYNE	개스코인
GASKELL	개스켈
GASPAR	가스파
GASPARD	가스파르
GASPARRI	가스파리
GASSENDI	가상디
GASSER	개서
GASTON	가스통
GATES	게이츠
GAUGUIN	고갱
GAUL	골
GAULTIER	고티에
GAUMONT	고몽
GAUSS	가우스
GAUTIER	고티에
GAVIN	개빈
GAY	게이
GAYOOM	가윰
GAZA	가자
GE	게
GEIBEL	가이벨
GEIGER	가이거
GEIJER	예이예르
GEISSLER	가이슬러
GEIST	가이스트
GELSENKIRCHEN	겔젠키르헨
GEMMA	제마
GENE	진
GENEVA	제네바
GENNADY	겐나디
GENTILE	젠틸레
GENTZ	겐츠
GEOFF	제프
GEOFFREY	제프리
GEORG	게오르그
GEORGE	게오르게
GEORGES	제오르제스
GEORGETOWN	조지타운
GEORGETTE	조젯
GEORGI	게오르기
GEORGIA	그루지아
GEORGINA	조르지나
GEPHARDT	게파트
GERAINT	제레인트
GERALD	제럴드
GERARD	제라르
GERARDUS	헤라르뒤스
GERASIMOV	게라시모프
GERBER	거버
GERD	게르트
GERHARD	게르하르트
GERHARDT	게르하르트
GERLACH	게를라흐
GERMAIN	제르맹
GERMANY	독일
GEROLAMO	제롤라모
GERONIMO	제로니모
GERRIT	헤리트
GERSHWIN	거슈윈
GERSTNER	거스너
GERTRUD	거트루드
GERTRUDE	거트루드
GERTSEN	게르첸
GERVINUS	게르비누스
GESELL	게젤
GESNER	게스너
GETTY	게티
GETTYSBURG	게티즈버그
GEULINCX	괼링크스
GHANA	가나
GHEORGHIU	게오르규
GHIBERTI	기베르티
GHOSH	고시
GIACOMETTI	자코메티
GIACOSA	자코사
GIAEVER	기에버
GIAMBATTISTA	잠바티스타
GIANFRANCO	잔프랑코
GIANNI	잔니
GIAUQUE	지오크
GIBB	깁
GIBBON	기번
GIBBONS	기번스
GIBBS	기브스
GIBSON	기브슨
GIDDENS	기든스
GIDDINGS	기딩스
GIELGUD	길구드
GIEREK	기에레크
GIGLI	질리
GIL	길
GILBERT	길버트
GILBRETH	길브레스
GILELS	길렐스
GILES	자일스
GILL	길
GILLESPIE	길레스피
GILLETTE	질렛
GILLIAN	질리언
GILMAN	길먼
GILSON	질송
GINASTERA	히나스테라
GINI	지니
GINO	지노
GINSBURG	긴즈버그
GIOBERTI	조베르티
GIOLITTI	졸리티
GIONO	지오노
GIORDANO	조르다노
GIORGIO	조르조
GIOVANNI	조반니
GIRARD	지라드
GIRARDON	지라르동
GIRAUDOUX	지로두
GIRONDE	지롱드
GISELA	지젤라
GISSING	기싱
GIULIANI	줄리아니
GIULIANO	줄리아노
GIULIO	줄리오
GIUSEPPE	주세페
GIUSTI	주스티
