A'MARIE	ಅಮಾರೀ
DHARUNA	ಧರುಣಾ
DHASA JUNCTION	ಧಾಸಾ ಜಂಕ್ಷನ್
DHATRI	ಧಾತ್ರಿ
DHAULPUR	ಧಾಲ್ಪುರ್
DHAVLE	ಢವಲೆ
DHAWAN	ಧಾವನ್
DHEENA	ಧೀನಾ
DHEERA	ಧೀರಾ
DHEERENDRA	ಧೀರೇಂದ್ರ
DHEKIAJILI ROAD	ಧೆಕಿಯಾಜಿ ರೋಡ್
DHILLON	ಢಿಲ್ಲೋ
DHIMAAN	ಧೀಮಾನ್
DHINDA	ಧಿಂಡಾ
DHINDSA	ಧಿಂಡ್ಸಾ
DHIREN	ಧೀರೇನ್
DHIRGANJ	ಧೀರಗಂಜ್
DHOBLE	ದೋಬ್ಲೆ
DHODHAR	ಧೋಧರ್
DHODRA MOHAR	ಧೋದ್ರಾ ಮೊಹರ್
DHONDI	ಧೋಂಡಿ
DHORAJI	ಧೋರಾಜಿ
DHRANGDHRA	ಧ್ರಂಗಧರಾ
DHRITI	ಧೃತಿ
DHRUV	ಧೃವ್
DHRUVA	ಧೃವಾ
DHUL-NUN AL-MISRI	ದುಲ್-ನುನ್ ಅಲ್-ಮಿಸ್ರಿ
DHULKOT	ಧೂಲಕೋಟ್
DHUMRAVARN	ಧುಮ್‌ರಾವರ್ನ್
DHURI JUNCTION	ಧುರೀ ಜಂಕ್ಷನ್
DHVANI	ಧ್ವಾನಿ
DHWANI	ಧ್ವಾನೀ
DIABLO	ಡಯಾಬ್ಲೋ
DIANA	ಡಯಾನಾ
DIANNE	ಡಿಯಾನ್ನೆ
DIBANG VALLEY	ದಿಬಾಂಗ್ ವ್ಯಾಲಿ
DICHPALLI	ದಿಚಪಲ್ಲಿ
DICK CHANEY	ಡಿಕ್ ಚೆನೀ
DICK GREGORY	ಡಿಕ್ ಗ್ರೆಗೋರಿ
DICKENS	ಡಿಕ್ಸನ್
DICKIN MEDAL	ಡಿಕ್ಕಿನ್ ಮೆಡಲ್
DIDJERIDU	ಡಿಜೆರಿದು
DIGHWARA	ದಿಗವಾರಾ
DIGOD	ದಿಗೋಡ್
DIKSHA	ದೀಕ್ಷಾ
DIL	ದಿಲ್
DIL AUR DEEWAR	ದಿಲ್ ಔರ್ ದೀವಾರ್
DIL DIWANA	ದಿಲ್ ದೀವಾನಾ
DIL DIYA DARD LIYA	ದಿಲ್ ದಿಯಾ ದರ್ದ್ ಲಿಯಾ
DIL HI DIL MEIN	ದಿಲ್ ಹೀ ದಿಲ್ ಮೇ
DIL HI TO HAI	ದಿಲ್ ಹೀ ತೋ ಹೈ
DIL KA DADA	ದಿಲ್ ಕಾ ದಾದಾ
DIL KA HEERA	ದಿಲ್ ಕಾ ಹೀರಾ
DIL KA THUG	ದಿಲ್ ಕಾ ಠಗ್
DIL KI DUNIYA	ದಿಲ್ ಕೀ ದುನಿಯಾ
DIL TERA DIWANA	ದಿಲ್ ತೆರಾ ದೀವಾನಾ
DIL TUJH KO DIYA	ದಿಲ್ ತುಝ್ ಕೊ ದಿಯಾ
DILAWARNAGAR	ದಿಲಾವರನಗರ್
DILBAR	ದಿಲ್‌ಬರ್
DILER	ದಿಲೇರ್
DILER DAKU	ದಿಲೇರ್ ಡಾಕೂ
DILIP DOSHI	ದಿಲಿಪಿ ದೋಶಿ
DILLI KA DADA	ದಿಲ್ಲೀ ಕಾ ದಾದಾ
DILLON	ಡಿಲ್ಲೊನ್
DILRUBA TANGEWALI	ದಿಲರುಬಾ ಟಾಂಗೆವಾಲೀ
DILWALE DULHANIA LE JAAYENGE	ದಿಲ್ವಾಲೆ ದುಲ್ಹನಿಯಾ ಲೇ ಜಾಯೆಂಗೆ
DILWARA TEMPLE	ದಿಲ್ವಾರ್ ಟೆಂಪಲ್
DIMAIA	ಡಿಮಾಯ್
DIMAPUR	ದಿಮಾಪುರ್
DIMOW	ದಿಮೋವ್
DIN DAHADE	ದಿನ್ ದಹಾಡೆ
DINA NAGAR	ದಿನಾ ನಗರ್
DINANATH	ದೀನನಾಥ
DINDAYAL	ದೀನ್‌ದಯಾಳ್
DINDIGUL JUNCTION	ದಿಂಡಿಗಲ್ ಜಂಕ್ಷನ್
DINDIGUL MANNAR THIRUMALAI	ದಿಂಡಿಗಲ್ ಮನ್ನಾರ್ ತಿರುಮಲೈ
DINDORI	ದಿಂಡೋರಿ
DINESH	ದಿನೇಶ್
DINGANKAR	ದಿಂಗಂನ್ಕರ್
DINKAR	ದಿನಕರ್
DINO	ಡಿನೊ
DINOS	ಡಿನೋಸ್
DINUSHA FERNANDO	ದಿನುಶಾ ಫೆರ್ನಾಂಡೊ
DION NASH	ಡಯನ್ ನ್ಯಾಷ್
DIONNE	ಡಿಯೊನ್ನೆ
DIONYSIUS	ಡಿಯೊಸಿಸ್
DIONYSUS	ಡಿಯೊಸಸ್
DIQRAH	ಡಿಕ್ಕಾ
DIRAC PRIZE	ಡಿರಾಕ್ ಪ್ರೈಜ್
DIRGH	ದೀರ್ಘ
DIRK VILJOEN	ಡಿರ್ಕ್ ವಿಲಿಜಿಯೊನ್
DIRK WELLHAM	ಡರ್ಕ್ ವೆಲಹಮ್
DIRT BIKE RACING	ಡರ್ಟ್ ಬೈಕ್ ರೇಸಿಂಗ್
DIRT BIKING	ಡರ್ಟ್ ಬೈಕಿಂಗ್
DISA	ದಿಸಾ
DISCO DANCER	ಡಿಸ್ಕೊ ಡ್ಯಾನ್ಸರ್
DISCUS	ಡಿಸ್ಕಸ್
DISPUR	ದೀಸ್ಪುರ್
DIVJOT	ದಿವಜೋತ್
DIVORCE	ಡೈವರ್ಸ್
DIVYA	ದಿವ್ಯ
DIVYENDU	ದಿವ್ಯೇಂದು
DIVYESH	ದಿವ್ಯೇಶ್
DIWANKHAVATI	ದಿವಾನಖಾವತಿ
DIWEKAR	ದಿವೇಕರ್
DIXIT	ದೀಕ್ಷಿತ್
DIXMUDE	ಡಿಕ್ಸ್‌ಮುಡೆ
DIYA	ದಿಯಾ
DJEMBE	ಜೆಂಬೆ
DNIEPER	ಡೆನೀಪರ್
DO AADMI	ದೋ ಆದ್ಮೀ
DO BEHNEN	ದೋ ಬಹನೇ
DO BIGHA ZAMEEN	ದೋ ಬೀಘಾ ಜಮೀನ್
DO DOST	ದೋ ದೋಸ್ತ್
DO DULHE	ದೋ ದೂಲ್ಹೆ
DO DUSHMAN	ದೋ ದಶಮನ್
DO GAZ ZAMEEN KE NEECHE	ದೋ ಗಜ್ ಜಮೀನ್ ಕೆ ನೀಚೆ
DO GULAB	ದೋ ಗುಲಾಬ್
DO KHILADI	ದೋ ಖಿಲಾಡಿ
DO MATWALE	ದೋ ಮತವಾಲೆ
DO MUSAFIR	ದೋ ಮುಸಾಫಿರ್
DO PREMEE	ದೋ ಪ್ರೇಮೀ
DO QAIDI	ದೋ ಕೈದಿ
DO RAASTE	ದೋ ರಾಸ್ತೆ
DO RAHA	ದೋ ರಹಾ
DO ROTI	ದೋ ರೋಟಿ
DO SHOLAY	ದೋ ಶೋಲೆ
DOBBELAAR	ಡೊಬೆಲಾರ್
DOBH BAHALI	ದೋಭ ಬಹಾಲಿ
DOBRO	ಡೋಬ್ರೊ
DOBRY	ಡಾಬ್ರೆ
DODA	ದೋಡಾ
DODDA GANESH	ದೊಡ್ಡ ಗಣೇಶ್
DOHRIGHAT	ದೋಹ್ರಿಘಾಟ್
DOLAN	ಡೊಲನ್
DOLLAR	ಡಾಲರ್
DOLLY PARTON	ಡಾಲಿ ಪಾರ್ಟನ್
DOLORES	ಡೊಲೊರಿಸ್
DOLTI NAIYA	ಡೋಲತೀ ನೈಯಾ
DOM	ಡಾಮ್
DOMBIVILI	ದೊಂಬಿವಿಲಿ
DOMINIC CORK	ಡಾಮಿನಿಕ್ ಕೋರ್ಕ್
DOMINICAN REPUBLIC	ಡೊಮಿನಿಕನ್ ರಿಪಬ್ಲಿಕ್
DOMINICK	ಡೊಮಿನಿಕ್
DON JOHNSON	ಡಾನ್ ಜಾನ್ಸನ್
DONAKONDA	ದೊನಕೊಂಡ
DONAL	ಡೋನಲ್
DONALD TRUMP	ಡೊನಾಲ್ಡ್ ಟ್ರಂಪ್
DONGARGAON	ದೊಂಗರ್ಗಾವ್
DONIGAL	ದೊನಿಗಲ್
DONNA	ಡೊನ್ನಾ
DONNEL	ಡೊನೆಲ್
DONNELLY	ಡಾನೆಲ್ಲಿ
DONNY	ಡಾನಿ
DONOVAN	ಡೊನವನ್
DOODH KA KARZ	ದೂಧ್ ಕಾ ಕರ್ಜಾ
DOOJ KA CHAND	ದೂಜ್ ಕಾ ಚಾಂದ್
DOOLEY	ಡೂಲೇ
DOOR DOOR PAAS PAAS	ದೂರ್ ದೂರ್ ಪಾಸ್ ಪಾಸ್
DOOR GAGAN KI CHHAON MEIN	ದೂರ್ ಗಗನ್ ಕೀ ಛಾವ ಮೇ
DOOR KA RAAHI	ದೂರ್ ಕಾ ರಾಹೀ
DOOR WADIYON MEIN KAHIN	ದೂರ್ ವಾದಿಯೋ ಮೇ ಕಹೀ
DOOSRI SITA	ದೂಸರೀ ಸೀತಾ
DORAHA	ದೊರಾಹಾ
DORE	ಡೊರಿ
DORIS	ಡೊರಿಸ್
DORNAKAL JUNCTION	ದೊರನಾಕಲ್ ಜಂಕ್ಷನ್
DOROTHEA	ಡೊರೋಥಿಯಾ
DOROTHY	ಡೊರೋಥಿ
DORPVELD	ಡಾರ್ಪ್‌ವೆಲ್ಡ್
DORY	ಡೋರಿ
DOST	ದೋಸ್ತ್
DOSTI	ದೋಸ್ತೀ
DOT	ಡಾಟ್
DOTTY	ಡಾಟಿ
DOUG WALTERS	ಡೋ ವಾಲ್ಟರ್ಸ್
DOUGAL	ಡೌಗಲ್
DOUST	ಡೌಸ್ಟ್
DOVER TURRET FORT	ಡೋವರ್ ಟುರೆಟ್ ಫೋರ್ಟ್
DOYEN	ಡೊಯನ್
DRACO	ಡ್ರ್ಯಾಕೊ
DRAMA DESK AWARDS	ಡ್ರಾಮಾ ಡೆಸ್ಕ್ ಅವಾರ್ಡ್ಸ್
DRAPER	ಡ್ರಾಪರ್
DRAUPADI	ದ್ರೌಪದಿ
DRAUPADI VASTRA HARAN	ದ್ರೌಪದೀ ವಸ್ತ್ರ ಹರಣ್
DREA	ಡ್ರಿಯಾ
DREAMA	ಡ್ರೀಮಾ
DRIDHPAD	ದೃಪದ್
DRISTI	ದೃಷ್ಟಿ
DRUHIN	ದ್ರುಹಿಣ್
DRUMMOND	ಡ್ರಮ್ಮಂಡ್
DRUPAD	ದ್ರುಪದ್
DUABA	ದುವಾಬಾ
DUBAHA	ದುಬಾಹಾ
DUBNIUM	ಡುಬ್ನಿಯಂ
DUDDHINAGAR	ದುದ್ಧಿನಗರ್
DUDH SAGAR	ದೂಧ್ ಸಾಗರ್
DUDLEY	ಡುಡ್ಲೆ
DUDUK	ಡುಡುಕ್
DUDWINDI	ದುದ್ವಿಂಡಿ
DUER	ಡುವರ್
DUF	ಡಫ್
DUGAN	ಡ್ಯುಗನ್
DUGDOL	ದುಗಡೊಲ್
DUGGARI	ದುಗ್ಗರಿ
DUGUID	ಡುಗ್ಯೂಡ್
DUHA	ದುಹಾ
DUILIO	ಡ್ಯುಲಿಯೊ
DUJANAH	ದುಜಾನಾ
DULARI	ದುಲಾರಿ
DULEEP MENDIS	ದುಲೀಪ್ ಮೆಂಡಿಸ್
DULHA BIKTA HAI	ದುಲ್ಹಾ ಬಿಕತಾ ಹೈ
DULHA DULHAN	ದುಲ್ಹಾ ದುಲಹನ್
DULHAN	ದುಲ್ಹನ್
DULHAN WOHI JO PIYA MAN BHAYE	ದುಲ್ಹನ್ ವಹೀ ಜೋ ಪಿಯಾ ಮನ್
DULIP LIYANAGE	ದುಲಿಪ್ ಲಿಯನಗೆ
DULLEWAL	ದುಲ್ಲೆವಾಲ್
DULRASAR	ದುಲರಾಸರ್
DUM DUM CANTONMENT	ಡಂ ಡಂ ಕಂಟೋನ್ಮೆಂಟ್
DUMARIYA	ದುಮಾರಿಯಾ
DUMBARTON	ಡಂಬರ್ಟನ್
DUMBRA	ಡುಂಬ್ರಾ
DUMOGA BONE	ಡುಮೋಗಾ ಬೋನ್
DUNCAN	ಡಂಕನ್
DUNCAN FLETCHER	ಡಂಕನ್ ಫ್ಲೆಚರ್
DUNDARA	ದುಂಡಾರಾ
DUNDLOD	ದುಂದಲೋದ್
DUNGAR JUNCTION	ದುಂಗರ್ ಜಂಕ್ಷನ್
DUNIYA HAI DIL WALON KI	ದುನಿಯಾ ಹೈ ದಿಲವಾಲೋ ಕೀ
DUNIYA MERI JEB MEIN	ದುನಿಯಾ ಮೇರೀ ಜೇಬ್ ಮೇ
DUNIYA NACHEGI	ದುನಿಯಾ ನಾಚೇಗೀ
DUPONT	ಡ್ಯುಪಾಂಟ್
DUPONT-COLUMBIA AWARD	ಡ್ಯೂಪಾಂಟ್-ಕೋಲಂಬಿಯಾ ಅವಾರ್ಡ್
DURAFE	ದುರಾಫೆ
DURG	ದುರ್ಗ
DURGA	ದುರ್ಗಾ
DURGAAPRASAAD	ದುರ್ಗಾಪ್ರಸಾದ್
DURGAPUR	ದುರ್ಗಾಪುರ
DURRAH	ದುರಾಹ್
DURVISH	ದುರ್ವಿಶ್
DUS LAKH	ದಸ್ ಲಾಖ್
DUSANJH	ದುಸಾಝ್
DUSHMANI	ದುಶ್ಮನಿ
DUSKHEDA	ದುಸ್ಕೇಡಾ
DUSTIN	ಡಸ್ಟಿನ್
DUTCH CIVIL WAR	ಡಚ್ ಸಿವಿಲ್ ವಾರ್
DUTCHESS	ಡಚೆಸ್
DUTY	ಡ್ಯೂಟಿ
DUVIDHA	ದುರ್ವಿಧಾ
DWARIKESH SUGAR	ದ್ವಾರಕೀಶ್ ಶುಗರ್
DWIGHT	ಡ್ವೈಟ್
DWIJENDRA	ದ್ವಿಜೇಂದ್ರ
DYAN	ಡೈನಾ
DYMCHURCH REDOUBT	ಡಿಮ್‌ಚರ್ಚ್ ರಿಡೌಟ್
DYMPNA	ಡಿಪ್ನಾ
DYSPROSIUM	ಡಿಸ್ಪ್ರೋಸಿಯಂ
E'JAAZ	ಎಜಾಜ್
EADS	ಈಡ್ಸ್
EAGLE BULK SHIPPING	ಈಗಲ್ ಬಲ್ಕ್ ಶಿಪ್ಪಿಂಗ್
EAMON	ಈಮನ್
EARA	ಈರಾ
EARL	ಅರ್ಲ್
EARNEST	ಅರ್ನೆಸ್ಟ್
EAST ANGLIA FORT	ಈಸ್ಟ್ ಆಂಗ್ಲಿಯಾ ಫೋರ್ಟ್
EAST HUMBOLDT	ಈಸ್ಟ್ ಹಂಬೋಲ್ಡ್
EASTBOURNE REDOUBT	ಈಸ್ಟ್ ಬೌರ್ನೆ ರಿಡೌಟ್
EAVAN	ಈವಾನ್
EBEN-EMAEL	ಎಬನ್-ಎಮಿಲ್
ECRINS	ಎಕ್ರಿನ್ಸ್
EDAKKAD	ಇದಕ್ಕಾಡ್
EDALENE	ಎಡಲೀನ್
EDALINE	ಎಡಲಿನ್
EDDA	ಎಡ್ಡಾ
EDDIE	ಎಡ್ಡೀ
EDE	ಎಡಿ
EDGAR	ಎಡ್ಗರ್
EDGER ALLAN POE	ಎಡ್ಗರ್ ಅಲನ್ ಪೋಯ್
EDINBURGH COLLEGE OF ART	ಎಡಿನ್‌ಬರ್ಗ್ ಕಾಲೇಜ್ ಆಫ್ ಆರ್ಟ್
EDRIC	ಎಡ್ರಿಕ್
EDWARDS	ಎಡ್ವರ್ಡ್ಸ್
EDWIN	ಎಡ್ವಿನ್
EDWINA	ಎಡ್ವಿನಾ
EECKEREN	ಎಚರೆನ್
EENADU	ಈನಾಡು
EGYPT	ಈಜಿಪ್ಟ್
EGYPTIAN MUSEUM	ಇಜಿಪ್ಟಿಯನ್ ಮ್ಯೂಸಿಯಂ
EHSANUL HAQUE	ಎಹಸಾನುಲ್ ಹಕ್
EIFEL	ಎಫೆಲ್
EILEEN	ಈಲೀನ್
EILIS	ಈಲಿಸ್
EITHNE	ಈಥ್ನಿ
EK ADHURI KAHANI	ಏಕ್ ಅಧೂರೀ ಕಹಾನಿ
EK BECHARA	ಏಕ್ ಬೆಚಾರಾ
EK CHADAR MAILI SI	ಏಕ್ ಚಾದರ್ ಮೈಲೀ ಸೀ
EK CHITTHI PYAR BHARI	ಏಕ್ ಚಿಟ್ಠಿ ಪ್ಯಾರ್ ಭರೀ
EK DIL SAU AFSANE	ಏಕ್ ದಿಲ್ ಸೌ ಅಫಸಾನೆ
EK DIN ACHANAK	ಏಕ್ ದಿನ್ ಅಚಾನಕ್
EK HI RAASTA	ಏಕ್ ಹೀ ರಾಸ್ತಾ
EK JHALAK	ಏಕ್ ಝಲಕ್
EK KALI MUSKAI	ಏಕ್ ಕಲೀ ಮುಸ್ಕಾಯಿ
EK KE BAAD EK	ಏಕ್ ಕೆ ಬಾದ್ ಏಕ್
EK KHILARI BAWAN PATTEY	ಏಕ್ ಖಿಲಾಡಿ ಬಾವನ್ ಪತ್ತೆ
EK KUNWARI EK KUNWARA	ಏಕ್ ಕುನ್ವಾರಿ ಏಕ್ ಕುನ್ವಾರಾ
EK MASOOM	ಏಕ್ ಮಾಸೂಮ್
EK MISAAL	ಏಕ್ ಮಿಸಾಲ್
EK MUSAFIR EK HASINA	ಏಕ್ ಮುಸಾಫಿರ್ ಏಕ್ ಹಸೀನಾ
EK NAAV KINARE DO	ಏಕ್ ನಾವ್ ಕಿನಾರೆ ದೋ
EK NAYA ITIHAAS	ಏಕ್ ನಹಾ ಇತಿಹಾಸ್
EK NAYA RISHTA	ಏಕ್ ನಯಾ ರಿಶ್ತಾ
EK PHOOL CHAR KANTE	ಏಕ್ ಪೂಲ್ ಚಾರ್ ಕಾಂಟೆ
EK PHOOL EK BHOOL	ಏಕ್ ಪೂಲ್ ಏಕ್ ಭೂಲ್
EK RAAT	ಏಕ್ ರಾತ್
EK RAAZ	ಏಕ್ ರಾಜ್
EK SAAL	ಏಕ್ ಸಾಲ್
EK SAPERA EK LUTERA	ಏಕ್ ಸಪೇರಾ ಏಕ್ ಲುಟೇರಾ
EK SE BADHKAR EK	ಏಕ್ ಸೇ ಬಢಕರ್ ಏಕ್
EK SE BHALE DO	ಏಕ್ ಸೇ ಭಲೆ ದೋ
EK SHOLA	ಏಕ್ ಶೋಲಾ
EK SHRIMAN EK SHRIMATI	ಏಕ್ ಶ್ರೀಮಾನ್ ಏಕ್ ಶ್ರೀಮತಿ
EK THA LADKA	ಏಕ್ ಥಾ ಲಡಕಾ
EK THA RAJA	ಏಕ್ ಥಾ ರಾಜಾ
EK THI LADKI	ಏಕ್ ಥಿ ಲಡಕಿ
EKACHITT	ಏಕಚಿತ್
EKADANT	ಏಕದಂತ
EKADASHI	ಏಕಾದಶಿ
EKALAVYA	ಏಕಲವ್ಯ
EKALINGA	ಏಕಲಿಂಗ
EKANGA	ಏಕಾಂಗ
EKATMA	ಏಕಾತ್ಮ
EKCHARI	ಎಕ್ಚಾರಿ
EKMA	ಎಕ್ಮಾ
EKNATH SOLKAR	ಏಕನಾಥ್ ಸೋಳ್ಕರ್
EKRAM	ಎಕ್ರಮ್
EL CHICO EL CIMATARIO	ಎಲ್ ಚಿಕೊ ಎಲ್ ಸಿಮಾಟಾರಿಯೊ
EL HORRIA	ಎಲ್ ಹೋರಿಯಾ
EL POTOSI	ಎಲ್ ಪೊಟೋಸಿ
EL-NEFOUS	ಅಲ್-ನೆಫಸ್
EL-SARAYA	ಅಲ್-ಸರಯಾ
ELA	ಇಳಾ
ELAAN	ಏಲಾನ್
ELATA	ಇಲಾಟಾ
ELBURZ	ಎಲ್‌ಬುರ್ಜ್
ELDEN	ಎಲ್ಡೆನ್
ELDON	ಎಲ್ಡನ್
ELECTRICITE DE FRANCE	ಎಲೆಕ್ಟ್ರಿಸೈಟ್ ಡಿ ಫ್ರಾನ್ಸ್
ELECTRONIC DATA SYSTEM	ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡಾಟಾ ಸಿಸ್ಟಮ್
ELHAM	ಎಲ್ಹಾಮ್
ELIE	ಈಲೀ
ELIOT	ಈಲಿಯಟ್
ELIZABETH DOLL	ಎಲಿಜಬೆತ್ ಡಾಲ್
ELIZABETH TAILOR	ಎಲಿಜಬೆತ್ ಟೇಲರ್
ELKE	ಎಲ್ಕೆ
ELLAMANCHILI	ಎಲಮನ್ಚಿಲಿ
ELLARD	ಎಲಾರ್ಡ್
ELLEN	ಎಲೆನ್
ELLENABAD	ಎಲೆನಾಬಾದ್
ELLESMERE	ಎಲೆಸಮೆರಿ
ELLISON	ಎಲಿಸನ್
ELMO	ಎಲ್ಮೋ
ELSIE	ಎಲ್ಸೀ
ELTEK	ಎಲ್ಟೆಕ್
ELYAS	ಎಲ್ಯಾಸ್
EMANUELE FILIBERTO	ಇಮ್ಯಾನ್ಯುಯಲ್ ಫಿಲಿಬೆರ್ಟೋ
EMBERLYNN	ಏಂಬರ್ಲಿನ್
EMBOURG	ಎಂಬರ್ಗ್
EMILY	ಎಮಿಲಿ
EMIRATES TOWER ONE	ಎಮಿರೇಟ್ಸ್ ಟವರ್ ಒನ್
EMIRATES TOWER TWO	ಎಮಿರೇಟ್ಸ್ ಟವರ್ ಟು
EMMA	ಎಮ್ಮಾ
EMMET	ಎಮ್ಮೆಟ್
EMMLY	ಎಮ್ಲಿ
EMMY	ಎಮ್ಮಿ
EMPIRE MACALPINE	ಎಂಪೈರ್ ಮ್ಯಾಕ್‌ಆಲ್ಪೈನ್
ENCANA	ಎಂಕಾನಾ
ENDESA	ಎಂಡೆಸಾ
ENEL	ಎನೆಲ್
ENID	ಎನಿಡ್
EQUESTRIAN	ಈಕ್ವೆಸ್ಟ್ರಿಯನ್
EQUINOX	ಈಕ್ವಿನಾಕ್ಸ್
ERASMUS	ಎರಾಸ್ಮಸ್
EREBUS	ಎರೆಬಸ್
ERHU	ಎರು
ERIS	ಏರಿಸ್
ERNA	ಎರ್ನಾ
ERNAKULAM JUNCTION	ಎರ್ನಾಕುಲಮ್ ಜಂಕ್ಷನ್
ERNIE	ಎರ್ನೀ
ERODE JUNCTION	ಈರೋಡ್ ಜಂಕ್ಷನ್
ERRIN	ಎರಿನ್
ERV	ಎರ್ವ್
ERZHERZOG FRIEDRICH	ಎಜರ್‌ಜೋಗ್ ಫ್ರೆಡ್ರಿಚ್
ERZHERZOG KARL	ಎಜರ್‌ಜೋಗ್ ಕಾರ್ಲ್
ESCONDIDO	ಎಸ್ಕೋಂಡಿಡೊ
ESCORTS	ಎಸ್‌ಕಾರ್ಟ್ಸ್
ESHWAR	ಈಶ್ವರ್
ESKALIS	ಎಸ್ಕಾಲಿಸ್
ESSAM	ಎಸ್ಸಾಂ
ESSAR STEEL	ಎಸ್ಸಾರ್ ಸ್ಟೀಲ್
ESTER IND	ಎಸ್ಟರ್ ಇಂಡ್
ESTES	ಎಸ್ಟೀಸ್
ETALAN DE YENNENGA	ಇಟಲನ್ ಡೆ ಯೆನೆಂಗಾ
ETAWAH	ಇತಾವಾ
ETHAN ALLEN HOMESTEAD MUSEUM	ಎಥನ್ ಅಲ್ಲೆನ್ ಹೋಮ್‌ಸ್ಟೆಡ್ ಮ್ಯೂಸಿಯಂ
ETMADPUR	ಇಟಮಾಪುರ್
ETOSHA	ಇತೋಷಾ
EUDORA CHURCH OF CHRIST	ಯುಡೊರಾ ಚರ್ಚ್ ಆಫ್ ಕ್ರಿಸ್ಟ್
EURIDICE	ಯ್ಯುರಿಡೈಸ್
EUROHYPO	ಯೂರೋಹೈಪೋ
EUROPE	ಯೂರೋಪ್
EUROPEAN FILM AWARDS	ಯುರೋಪಿಯನ್ ಫಿಲ್ಮ್ ಅವಾರ್ಡ್ಸ್
EUROPIUM	ಯೂರೋಪಿಯಂ
EURYDICE	ಯ್ಯೂರಿಡೈಸ್
EVAN	ಇವಾನ್
EVAN GRAY	ಈವನ್ ಗ್ರೇ
EVEREADY IND	ಎವರೆಡೀ ಇಂಡ್
EVEREST IND	ಎವರೆಸ್ಟ್ ಇಂಡ್
EVERETT	ಎವರೆಟ್
EVERGREEN COMMUNITY	ಎವರ್‌ಗ್ರೀನ್ ಕಮ್ಯುನಿಟಿ
EVERS	ಇವರ್ಸ್
EVETTE	ಇವೆಟ್
EXCALIBUR	ಎಕ್ಸ್‌ಕ್ಯಾಲಿಬರ್
EXETER	ಎಕ್ಸೀಟರ್
EXMOUTH	ಎಕ್ಸ್‌ಮೌಥ್
EXPRESS SCRIPTS	ಎಕ್ಸ್ ಪ್ರೆಸ್ ಸ್ಕ್ರಿಪ್ಟ್ಸ್
EXXON MOBILE	ಎಕ್ಸಾನ್ ಮೊಬಿಲ್
EXXON VALDEZ	ಎಕ್ಸಾನ್ ವಲ್ಡೇಜ್
EYAB	ಎಯಾಬ್
EZRA MOSELEY	ಎರ್ಜಾ ಮೂಸ್ಲಿ
FAASLE	ಫಾಸಲೆ
FABIAN	ಫೇಬಿಯನ್
FABIANA	ಫೇಬಿಯಾನಾ
FABIO	ಫೇಬಿಯಾ
FABRIZIO	ಫೆಬ್ರಿಝಿಯೊ
FADEELAH	ಫದೀಲಾ
FADIL	ಫಾದಿಲ್
FADL	ಫದಲ್
FAHD	ಫಾಹ್ದ್
FAHIM	ಫಾಹಿಮ್
FAHIM MUNTASIR	ಫಾಹಿಂ ಹುಸೇನ್
FAIQAH	ಫೈಕಾಹ್
FAISAL IQBAL	ಫೈಸಲ್ ಇಕ್ಬಾಲ್
FAITH	ಫೇತ್
FAJYAZ	ಫಾಜ್‌ಯಾಜ್
FAKHIR	ಫಕೀರ್
FAKHRI	ಫಕ್ರಿ
FAKHTAH	ಫಕಾತಾಹ್
FALGUNI	ಫಲ್ಗುಣಿ
FALNA	ಫಲನಾ
FAMILY	ಫ್ಯಾಮಿಲಿ
FANCY	ಫ್ಯಾನ್ಸಿ
FANIE DE VILLIERS	ಫ್ಯಾನೀ ಡಿ ವಿಲಿಯರ್ಸ್
FANISH	ಫಣೀಶ್
FAQIR	ಫಕೀರ್
FAQIRAH	ಫಕೀರಾಹ್
FARAH	ಫರಾ
FARAH TOWN	ಫರಾಹ್ ಟೌನ್
FARASAT	ಫರಾಸತ್
FAREB	ಫರೇಬ್
FAREED	ಫರೀದ್
FARHAN ADIL	ಫರಾನ್ ಅದಿಲ್
FARHAT	ಫರ್ಹತ್
FARI'AH	ಫರಿಯಾ
FARICA	ಫ್ಯಾರಿಕಾ
FARID	ಫರಿದ್
FARIDABADI	ಫರೀದಾಬಾದ್
FARIHAH	ಫರಿಹಾ
FARISHTA	ಫರಿಶ್ತಾ
FARISHTA YA QATIL	ಫರಿಶ್ತಾ ಯಾ ಕಾತಿಲ್
FARLINGTON REDOUBT	ಫಾರ್ಲಿಂಗ್ಟನ್ ರಿಡೌಟ್
FARMAISH	ಫರ್ಮಾಯಿಶ್
FARO	ಫರೋ
FAROOQ	ಫಾರೂಕ್
FARQAD	ಫರ್ಕಾದ್
FARRAGUT	ಫರಾಗತ್
FARRAR	ಫರಾರ್
FARRUKH	ಫಾರ್ರುಖ್
FARUCA	ಫಾರೂಕಾ
FARUK AHMED	ಫಾರುಕ್ ಅಹ್ಮದ್
FARUQ	ಫಾರುಖ್
FARYADI	ಫರ್ಯಾದಿ
FARZ KI JUNG	ಫರ್ಜ್ ಕಿ ಜಂಗ್
FATEENAH	ಫತೀನಾ
FATEH	ಫತೇ
FATEH SINGHPURA	ಫತೆಹ್ ಸಿಂಗಪುರ
FATEHABAD JUNCTION	ಫತೇಬಾದ್ ಜಂಕ್ಷನ್
FATEHGARH	ಫತೇಗಢ್
FATEHGARH SAHIB	ಫತೇಗಢ್ ಸಾಹಿಬ್
