A	এ
CHAMKAUR	চামকৌড়
CHAMPA	চম্পা
CHAMPABIBI	চম্পাবিবি
CHAMPADEBI	চম্পদেবী
CHAMPAK	চম্পক
CHAMPAKA	চাম্পাক
CHAMPANER	চম্পানের
CHAMPARAN	চম্পারণ
CHAMPARANI	চম্পারানী
CHAMPAWAT	চম্বাতট
CHAMPIONS	চাম্পিয়ান্স
CHAMPIONSHIPS	চ্যামপিওনশীপস
CHAMPLAIN	চ্যামপ্লেন
CHAMRAURA	চামরাউরা
CHAMUNDESHWARI	চামুণ্ডেশ্বরী
CHANCHAL	চঞ্চল
CHANCHALA	চঞ্জলা
CHANDA	চন্দ
CHANDADEVI	চন্দাদেবী
CHANDAN	চন্দন
CHANDANA	চন্দনা
CHANDANARANI	চন্দনারানী
CHANDANI	চন্দনী
CHANDANKUMAR	চন্দনকুমার
CHANDAR	চন্দর
CHANDAULI	চান্দৌলি
CHANDAUSI	চন্দউসি
CHANDAWAL	চন্দউল
CHANDBABU	চাঁদবাবু
CHANDERIYA	চান্দেরিয়া
CHANDESWAR	চন্দেশ্বর
CHANDGOPAL	চাঁদগোপাল
CHANDHA	চন্ধা
CHANDI	চণ্ডি
CHANDIBALA	চণ্ডিবালা
CHANDICHARAN	চন্ডীচরণ
CHANDIDAS	চন্ডিদাস
CHANDIGADIA	চন্ডিগাডিয়া
CHANDIKA	চন্ডিকা
CHANDIL	চান্ডিল
CHANDIPADA	চণ্ডীপদ
CHANDIRANI	চণ্ডীরানী
CHANDISAR	চান্দিসার
CHANDKUMAR	চাঁদকুমার
CHANDLODIYA	চান্দলোদিয়া
CHANDMAHAMAD	চাঁদমহমদ
CHANDMOHAN	চাঁদমোহন
CHANDMUKHI	চাঁদমুখী
CHANDOK	চন্দক
CHANDOLKAR	চন্দোলকার
CHANDPUR	চাঁদপুর
CHANDRABATI	চন্দ্রাবতী
CHANDRABATIDEVI	চন্দ্রাবতীদেবী
CHANDRABHAGA	চন্দ্রভাগা
CHANDRABHAN	চন্দ্রভান
CHANDRABOLI	চন্দ্রাবলী
CHANDRADEB	চন্দ্রদেব
CHANDRADEBI	চন্দ্রাদেবী
CHANDRADHAR	চন্দ্রধর
CHANDRAKONA	চন্দ্রকোণা
CHANDRALEKHA	চন্দ্রলেখা
CHANDRAMA	চন্দ্রমা
CHANDRAMOHAN	চন্দ্রমোহন
CHANDRAMONI	চন্দ্রমনি
CHANDRANA	চন্দ্রনা
CHANDRANATH	চন্দ্রনাথ
CHANDRANI	চন্দ্রনী
CHANDRAPUR	চন্দ্রপুর
CHANDRASEN	চন্দ্রসেন
CHANDRAVARDAI	চন্দ্রভারদাই
CHANDU	চন্দু
CHANDUBIBI	চাঁদুবিবি
CHANDUR	চান্দুর
CHANETI	চানেতি
CHANEY	চানে
CHANGANACHERI	চানগানাচেরি
CHANGO	চাংগো
CHANKANAB	চাঙ্কানভ
CHANNAGIRI	চান্নাগিরি
CHANNANI	চান্নানি
CHANNAPATNA	চান্নাপাটনা
CHANNEL	চ্যানেল
CHANPA	চাঁপা
CHANPALATA	চাঁপালতা
CHANPARANI	চাঁপারাণী
CHANPATIA	চানপাটিয়া
CHAPADA	চাপাদা
CHAPAL	চপল
CHAPALA	চপলা
CHAPALABALA	চপলাবালা
CHAPALARANI	চপলারাণী
CHAPHEKAR	চাফেকার
CHAPLIN	চ্যাপলিন
CHAPPLE	চ্যাপেল
CHARAN	চরণ
CHARANJIT	চরনজিত্
CHARAUD	চারাউদ
CHARBAGH	চারবাঘ
CHARBATIA	চারবাটিয়া
CHARBHUJA	চারভূজা
CHARKHARI	চরখারী
CHARKHI	চরখী
CHARKI	চড়কি
CHARL	চার্ল
CHARLEMAGNE	চার্লেম্যাগনে
CHARLES	চার্লিস
CHARLESTON	চার্লেস্টোন
CHARLIE	চার্লি
CHARLOTTE	চারলোটো
CHARLTON	চার্লটোন
CHARMINAR	চারমিনার
CHARTERED	চাটার্ড
CHARTHAWAL	চারথাওয়াল
CHARUCHANDA	চারুচন্দ্র
CHARULATA	চারুলতা
CHARVATTUR	চারভাটুর
CHASSIS	চাসিস
CHATA	চাটা
CHATARA	ছাতার
CHATE	চাতে
CHATHANOOR	চাথানুর
CHATTERGOON	চাট্টেরগুন
CHATTERJEE	চ্যার্টাজি
CHATTERJI	চ্যাটার্জি
CHATTHA	চাট্ঠা
CHATURBHUJ	চতুর্ভূজ
CHAUBE	চৌবে
CHAUBEPUR	চৌবেপুর
CHAUDFONTAINE	চৌদফাউন্টেন
CHAUDURY	চৌধুরী
CHAUGHULE	চৌগুলে
CHAUHAN	চৌহান
CHAUKHANDI	চৌখানডি
CHAUNRAH	চৌনরা
CHAURA	চৌরা
CHAURAI	চৌরাই
CHAURASI	ছৌরাসি
CHAURASIA	চৌরাশিয়া
CHAURE	চৌরি
CHAUSA	চৌসা
CHAUSALA	চৌসলা
CHAUTHAM	চৌথাম
CHAVANNES	চাভানেস
CHAVARA	চাভারা
CHAWA	চাওয়া
CHAWAPALL	চাওয়াপাল
CHAWLA	চাওলা
CHAYGAON	চায়গাঁও
CHEEMA	চীমা
CHEEPURUPALLI	চিপুরুপল্লী
CHEER	চেয়ার
CHEKOV	চেকোভ
CHELAKARA	চেলাকারা
CHEMANCHERI	চেমনচেরি
CHEMBUR	চেম্বুর
CHEMGENEX	কেমজেনেক্স
CHEMICAL	কেমিক্যালস
CHEMICALS	কেমিক্যালস
CHEMIN	চিমিন
CHENAB	চেনব
CHENG	চেং
CHENGALPATTU	চেঙ্গালপাত্তু
CHENGAM	চেঙ্গাম
CHENGANNUR	চেঙ্গান্নুর
CHENNAI	চেন্নাই
CHENNAKESAVA	চেন্নাকেশব
CHENNUR	চেন্নুর
CHEPAUK	চিপক
CHERA	চিরা
CHERANMAHADEVI	চেরানমহাদেবী
CHERIA	চেরিয়া
CHERIYAL	চেরিয়াল
CHEROKEE	চেরোকি
CHESAPEAKE	চেজপিয়েক
CHESTER	চেস্টার
CHETAN	চেতন
CHETAR	চিতর
CHEVELLA	চেভেল্লা
CHHABIBALA	ছবিবালা
CHHABIBIBI	ছবিবিবি
CHHABIRANI	ছবিরাণী
CHHABRA	ছব্রা
CHHAMB	ছাম্ব
CHHAPI	ছাপি
CHHARODI	ছারোদি
CHHATA	ছাত্তা
CHHATAPUR	ছাত্তাপুর
CHHATRAPATI	ছত্রপতি
CHHATTISGARH	ছত্তিশগড়
CHHATURAM	ছুটুরাম
CHHAU	ছৌ
CHHIDAM	ছিদাম
CHHIDGAON	ছিদগাঁও
CHHINA	ছিনা
CHHINDA	ছিন্দা
CHHINDWARA	ছিন্দওয়ারা
CHHIPADOHAR	ছিপাদোহার
CHHITAMANI	ছিতামনি
CHHOBI	ছবি
CHHOTI	ছোটি
CHHOTKA	ছোটকা
CHHOTO	ছোটো
CHHOTTU	ছোট্টু
CHHUTUMANI	ছুটুমনি
CHIANKI	চিয়ানকি
CHIBHABHA	চিভাভা
CHICKPET	চিকপেট
CHICO	চিকো
CHIDAMBARAM	চিদামবারাম
CHIFLEY	চিফলে
CHIGUMBURA	চিগুম্বুরা
CHIHERU	চিহেরু
CHIHUAHUAN	চিহুয়াহুয়ান
CHIKATI	চিকাতি
CHIKBALAPUR	চিকবালপুর
CHIKBALLAPUR	চিকবাল্লাপুর
CHIKHLI	চিখলি
CHIKJAJUR	চিকজাজুর
CHIKNAIKANAHALLI	চিকনাইকানাহাল্লি
CHIKNI	চিকনি
CHILAKALURIPET	চিলাকালুরিপেট
CHILBILA	চিলবিলা
CHILDRENS	চিলড্রেনস
CHILE	চিলি
CHILKA	চিল্কা
CHILKAHAR	চিল্কাহার
CHILKAT	চিল্কাট
CHILTON	চিল্টোন
CHIMANIMANI	চিমানিমানি
CHIMUR	চিমুর
CHINA	চায়না
CHINAS	চাইনাস
CHINCHALKAR	চিঞ্চলকার
CHINCHLI	চেনচলি
CHINCHOLI	চিঞ্চোলি
CHINCHPADA	চিনচপাদা
CHINCHVAD	চিনচভাদ
CHINESE	চাইনিজ
CHINI	চিনি
CHINIBALA	চিনিবালা
CHINNA	চিন্না
CHINNAR	চিন্নার
CHINNASALEM	চিন্নাসালেম
CHINNUR	চিন্নুর
CHINTA	চিন্তা
CHINTALAPUDI	চিন্তালাপুড়ি
CHINTAMANI	চিন্তামণি
CHINTAMOYE	চিন্তামযী
CHINTAPALLI	চিন্তাপল্লী
CHINUBALA	চিনুবালা
CHIPEWYAN	চিপউইয়ান
CHIPLUN	চিপলুন
CHIPPAC	চিপপ্যাক
CHIPURUPALLE	চিপুরুপাল্লি
CHIRADIP	চিরদীপ
CHIRAI	চিরাই
CHIRALA	চিরালা
CHIRANJIBI	চিরঞ্জিব
CHIRANJIT	চিরঞ্জিত্
CHIRARANJAN	চিররঞ্জন
CHIRGAON	চিরগাঁও
CHIRKEY	চিরকি
CHIRMIRI	চিরমিরি
CHIRSTIAN	খ্রিস্ট্রিয়ান
CHISHTI	ক্রিস্টি
CHITAHRA	চিতহ্র
CHITAL	চিতল
CHITALE	চিতল
CHITAMANI	চিতামনি
CHITAPUR	চিতাপুর
CHITARANJAN	চিওরঞ্জন
CHITNIS	চিটনীশ
CHITRA	চিত্রা
CHITRADURG	চিত্রদুর্গ
CHITRADURGA	চিত্রদূর্গা
CHITRAKOOT	চিত্রকূট
CHITRALEKHA	চিত্রলেখা
CHITRARANJAN	চিত্তরঞ্জন
CHITRAWAD	চিত্রওয়াদ
CHITROD	চিটরড
CHITTAR	চিত্তর
CHITTAURGARH	চিত্তউরগড়
CHITTOOR	চিত্তূর
CHITTORGARH	ছত্রিশগড়
CHITTUR	চিত্তুর
CHIYODA	চিয়োদা
CHIZAMI	চিজামি
CHLORINE	ক্লোরিন
CHOBE	চোব
CHODIALA	চোদিয়ালা
CHOHTAN	চোহতান
CHOLAMANDALAM	চোলামন্ডালম
CHOMU	চোমু
CHOMUN	চোমুন
CHOPAN	চোপান
CHOPDA	চোপদা
CHOPIN	কোপিন
CHOPPADANDI	চোপ্পাডাণ্ডি
CHOPRA	চোপরা
CHOQUELLA	চোকুইলা
CHORASI	চোরাসি
CHORDOPHONE	চোর্ডোফোন
CHOTAN	ছোটন
CHOTI	চোটি
CHOUDHARY	চৌধরী
CHOWKI	চৌকি
CHOWRINGHEE	চৌরঙ্গী
CHRIST	খ্রিষ্ট
CHRISTIAN	ক্রিস্টিয়ান
CHRISTIANITY	ক্রিশ্চিয়ানিটি
CHRISTMAS	ক্রিসমাস
CHRISTO	ক্রিস্টো
CHRISTY	ক্রিস্টি
CHROMIUM	ক্রোমিয়াম
CHRONICLE	চরোনিক্যল
CHRYSANTHEMUM	ক্রিসান্থমুম
CHRYSLER	ক্রিসলার
CHUBACHHA	চুবাচ্ছা
CHUBU	চুবু
CHUCHURA	চুচুড়া
CHUCK	চাক
CHUDKI	চুডকী
CHUKCHI	চাকচি
CHUNAR	চুনার
CHUNEKAR	চুনেকর
CHUNG	চাঙ্গ
CHUNI	চুনি
CHUNIBALA	চুনিবালা
CHUNILAL	চুনীলাল
CHUNIRAM	চুনিরাম
CHUNNI	চুন্নী
CHUNUBALA	চুনুবালা
CHUNURAM	চুনুরাম
CHURACHANDPUR	চুরাচন্দপুর
CHURAHAT	চুরাহাট
CHURAMANI	চুরামণি
CHURK	চুর্ক
CHUYO	চুয়ো
CHYULU	চিয়ুলু
CIBA	সিবা
CIDADES	সিদাদেস
CIGNA	চিগনা
CIMATARIO	কিমাতারিও
CINCINNATI	সিনসিনাটি
CIPICUNG	সিপিচুং
CIPLA	সিপলা
CIPO	সিপো
CIRCLE	সারকেল
CIRCUITS	সার্কিটস
CISCO	সিসকো
CITADELLE	সিতাডেলা
CITY	সিটি
CITYSPIRE	সিটিস্পায়র
CIVIC	সিভিক
CIVIL	সিভিল
CLARENCE	ক্লেয়ারেন্স
CLARENDON	ক্লেরেনডন
CLARK	ক্লার্ক
CLARSACH	ক্লার্সাচ
CLATSOP	ক্লেস্টপ
CLAY	ক্লাই
CLEBURNE	ক্লেবার্নে
CLEMENCEAU	ক্লিমেনসিউ
CLICKSOFTWARE	ক্লিকসফটওয়ার
CLIFTON	ক্লিফটোন
CLIMBING	ক্লাম্বিং
CLINCH	ক্লিঞ্চ
CLINTON	ক্লিটন
CLIVE	ক্লিভ
CLOGGING	ক্লোজিং
CLOUD	ক্লাউড
CLUTTERBUCKGANJ	ক্লুট্টারবাকগঁঞ্জ
CLYMER	ক্লাইমার
COALHOUSE	কোলহাউস
COALITION	কোলিশান
COANGOS	কোয়াংগোস
COAST	কোস্ট
COAT	কোট
COBAIN	কোবাইন
COBALT	কোবাল্ট
COBH	কোভ
COBORNE	কোবোর্নে
COBSA	কোবসা
COBURG	কোবার্গ
COCACOLA	কোকাকোলা
COCHIN	কোচিন
COCHRAINE	কোচরেইন
COCKELBIDDY	ককেলবিডি
COD	কোড
CODIAC	কোডিয়াক
COFCO	কোফকো
COFRE	কুফরি
COIMBATORE	কোয়েমবাটোর
COKE	কোক
COLA	কোলা
COLACHEL	কোলাচেল
COLBERT	কলবার্ট
COLDSTREAM	কোল্ডস্টিম
COLE	কোলে
COLERIDGE	কোলরিজ
COLGATE	কোলগেট
COLIMA	চোলিমা
COLLECTION	কালেকশান
COLLEGE	কলেজ
COLLEY	কোলে
COLLIER	কোলিয়ার
COLLINGSWORTH	কোলিংসওর্থ
COLLINGWOOD	কলিঙ্গউড
COLLYMORE	কালিমোর
COLOGNE	কোলোন
COLOMBIA	কলোম্বিয়া
COLOMBO	কলম্বো
COLON	কোলন
COLONELGANJ	কলোনেলগঁঞ্জ
COLONG	কোলোং
COLONNA	কোলোনা
COLONY	কোলোনী
COLORADO	কোলোরাডো
COLOUR	কালার
COLUMBIA	কলম্বিয়া
COLUMBUS	কোলাম্বাস
COLUSA	কোলুসা
COMAN	কাম্যান
COMCAST	কোমকাস্ট
COMEDY	কমেডী
COMMENCEMENT	কমেন্সমেন্ট
COMMERCE	কমার্স
COMMERCIAL	কমার্সিয়াল
COMMERZBANK	কোমার্জব্যাঙ্ক
COMMIE	কোমিয়ে
COMMONWEALTH	কমনওয়েলথ
COMMUNICATION	কমিউনিকেশন
COMMUNICATIONS	কমিউনিকেশান
COMMUNITY	কোমুনিটি
COMPARSA	কোম্পারসা
COMPASS	কমপাস
COMPTON	কোম্পটন
COMPUGEN	কম্পুজেন
CON	কন
CONAGRA	কোনার্গ
CONCOR	কনকর
CONDE	কন্ডি
CONDECORACION	কোন্ডেকোরাসিয়ান
CONDOLEEZA	কন্ডোলিজা
CONDORCET	কন্ডোরসেট
CONGDON	কোঙ্গডোন
CONGO	কঙ্গো
CONGRESS	কংগ্রেস
CONGRESSIONAL	কংগ্রেসানাল
CONNECTICUT	কানেকটিকুট
CONNERY	কোনারি
CONNOLLY	কোন্নোল্লি
CONNOR	কোননোর
CONOCOPHILLIPS	কনোকোফিলিপ্স
CONQUEROR	কনকোয়েরোর
CONSOLIDATED	কনসোলিডেটেড
CONST	কনস্ট
CONSTANTINOPLE	কন্সট্যান্টিনোপল
CONSTELLATION	কন্সটেলেশান
CONSTITUTION	কন্সটিটিউশান
CONSTRUCTION	কনস্ট্রাকশন
CONSULTING	কনসাল্টিং
CONTAI	কন্টাই
CONTE	কন্টে
CONTEMPORARY	কনটেমপোরারী
CONTEST	কন্টেস্ট
CONTINENTAL	কন্টিনেন্টাল
CONTROL	কন্ট্রোল
CONTROLS	কন্ট্রোলস
COOCH	কুচ
COOK	কুক
COOKE	কুকে
COOLAGH	কুলাঘ
COONDAPUR	কুন্দাপুর
COONOOR	কোনোর
COOPER	কোপার
COOPERS	কুপার্স
COPCO	কপকো
COPE	কোপ
COPENHAGEN	কোপেনহাগেন
COPPOLA	কোপোলা
CORBETT	করবেট
CORETTA	কোরেত্তা
COREY	কারি
CORFU	কোর্ফু
CORGI	কোর্জি
CORK	কোরক
CORKETT	কর্কেট
CORNERSTONE	কর্ণারস্টোন
CORNISH	কোনিশ
CORNWALLIS	কর্ণওয়ালিশ
CORP	ক্রপ
CORRA	কোরাল
CORRIDOS	কোরিডস
CORSICA	কোর্সিকা
CORTALIM	কোর্টালিম
CORTLAND	কোর্টল্যান্ড
CORVETTE	কোরভেট্ট
COSBY	ক্রোসবে
COSGROVE	কোসগ্রোভ
COSIER	কাসির
COSMO	কসমো
COSTCO	কসকো
COSTNER	কোস্টনার
COTCHERY	কোটচেরি
COTE	কোট
COTTAGE	কটেজ
COTTLE	কোটলে
COTTON	কোট্টন
COUNT	কাউন্ট
COUNTRY	কান্ট্রি
COUNTRYWIDE	কান্ট্রিওয়াইড
COUNTY	কান্টী
COURAGE	কার্জ
COURAGEOUS	ক্যারেজিয়াস
COURBET	করবেট
COURT	কোট
COURTNEY	কাউরনি
COVENTRY	কোভেন্ট্রি
COWAN	কোয়ান
COWANS	কাউয়ান
COWDREY	কাউড্রি
COYALMANNAM	কোয়ালমান্নাম
CRAIG	ক্রেইগ
CRANFIELD	ক্রানফিল্ড
CRAWLEY	ক্রেলি
CRAZY	ক্রেজি
CREDIT	ক্রেডিট
CREEK	ক্রিক
CREF	ক্রের্ফ
CRESCENT	ক্রিসেন্ট
CREST	ক্রেস্ট
CRESUD	ক্রেসাড
CRETAN	ক্রিতন
CRETE	ক্রীট
CRICHTON	ক্রিকটন
CRIMEAN	ক্রিমেন
CRISTOBAL	ক্রিস
CRITTENDEN	ক্রিটেনডেন
CROFT	ক্রাফট
CROIX	ক্রোইস্ক
CRONJE	ক্রোনিয়া
CRONKITE	ক্রনকাইট
CRONOS	ক্রোনোস
CROOK	ক্রুক
CROQUET	ক্রোকুয়েট
CROSBY	ক্রোসবে
CROSS	ক্রস
CROSSING	ক্রসিং
CROWE	ক্রো
CROWN	ক্রাউন
CROWNHILL	ক্রাউনহিল
CRUCELL	ক্রুসেল
CRUISE	ক্রুইসে
CRYPTOLOGIC	ক্রিপটোলজিক
CRYSTAL	ক্রিস্টাল
CUBA	কিউবা
CUECA	কুয়েকা
CUEVA	কুয়েভা
CUICA	কুইকা
CULLEN	চুল্লেন
CULLINAN	কুলিনান
CULLMAN	কুলমান
CULTURAL	কালচারেল
CULTURE	কালচার
CUMBARJUA	কুম্বারজুয়া
CUMBERLAND	কাম্বারল্যান্ড
CUMBRES	কুম্বরেস
CUMBUM	কুমবাম
CUMMING	কুমিঙ্গ
CUMMINS	কিউমিনস
CUNNINGHAM	কান্নিগহাম
CUOMO	কুওমো
CUP	কাপ
CURA	কুরা
CURIUM	কুরিয়াম
CURLING	কারলিং
CURT	কার্ট
CUSTER	কুস্টার
CUTTACK	কটক
CYCLE	সাইকেল
CYCLING	সাইক্লিং
CYMBALOM	কুম্বালোম
D	ডি
DA	দ্যা
DAAD	দ্দাদ
DAAIR	দাইর
DAATAN	দাতন
DAATE	দাতে
DABEER	দাবির
DABENGWA	ডাবেঙ্গা
DABHADE	দাভাদে
DABHADI	দাবহাদি
DABHAURA	দাভাউরা
DABHOI	দাভোই
DABLI	ডাবলি
DABLU	ডাবলু
DABOLIM	দাবোলিম
DABRA	দাব্রা
DABTARA	দাবতারা
DABUBALA	ডাবুবালা
DABUGAM	দাবুগাম
DADA	দাদা
DADAHUR	ডাদাউর
DADENGGIRI	দাদেঙ্গগিরি
DADRA	দাদরা
DADRAUL	দাদরাউল
DADRI	দাদরি
DADUK	ডাডুক
DAEGU	দেইগু
DAGMAGPUR	দাগমাগপুর
DAHAR	দাহার
DAHESH	ডাহেশ
DAHINA	দাহিনা
DAHOD	দাহোদ
DAI	দাই
DAIBAKI	দৈবকী
DAILWARA	ডেইলওয়ারা
DAILY	ডেইলি
DAINIK	দৈনিক
DAISY	ডেইজি
DAKANIYA	দাকানিযা
DAKHA	দাখা
DAKOTA	দাকোতা
DAKTAR	ডাক্তর
DALADI	দালাদি
DALAI	দলাই
DALAL	দালাল
DALAPATI	দলপতি
DALAUDA	দালাউদা
DALBIR	দলবীর
DALE	দালে
DALEL	দলিল
DALES	ডেলস
DALEVILLE	ডলেভিল
DALIBIBI	ডলিবিবি
DALIKHATUN	ডলিখাতুন
DALJIT	দলজিত
DALKHAI	ডালখাই
DALKOLHA	ডালকোলহা
DALLAS	ডাল্লাস
DALLAWAY	দাল্লাওয়ে
DALMAU	দালমাউ
DALMERA	দালমেরা
DALMIA	ডালমিয়া
DALPAT	দলপাট
DALPATPUR	দলপাতপুর
DALSINGH	দালসিং
DALSINGHSARAI	দলসিঙ্ঘসরাই
DALU	দালু
DALWI	দালভি
DAM	ড্যাম
DAMAN	দমন
DAMASCUS	দামাসকাস
DAMBUK	দাম্বুক
DAMINI	দামিনী
DAMNAGAR	দামনগর
DAMODAR	দামোদর
DAMS	ড্যামস
DAMTHANG	দামথাঙ্গ
DAN	ডেন
DANAPUR	দানাপুর
DANCES	ড্যান্সেস
DANDIYA	ডান্ডিয়া
DANDOLO	ডান্ডোলা
DANDUPUR	দানদুপুর
DANE	দানে
DANESH	দানেশ
DANGERFIELD	ডেঞ্জারফিল্ড
DANI	দানী
DANIK	দৈনিক
DANISH	দানিশ
DANIYAWAN	দানিয়াওয়ান
DANKA	ডাঙ্কা
DANKAUR	দানকাউর
DANNEBROG	ডানব্রোগ
DANNY	ডানি
DANONE	দানোনে
DANSKE	ডান্সকে
DANTA	দন্ত
DANTAN	দাঁতন
DANUBE	দানুব
DANZON	ডনজোন
DAPENG	দাপেং
DAPODI	দাপোদি
DAPOLI	দাপোলি
DARA	দারা
DARAANG	দ্বারাং
DARABUKA	ডারাবুকা
DARAMDIN	দারামদিন
DARANG	দারাঙ্গ
DARAULI	দারৌলি
DARBAR	ডারবার
DARBHAGA	দ্বারভাঙ্গা
DARBHANGA	দ্বারভাঙ্গা
DAREN	ডারেন
DARIAPUR	দরিয়াপুর
DARIEN	ডারিয়েন
DARIYABAD	দরিয়াবাদ
DARJEELING	দার্জিলিং
DARLING	ডারলিং
DARMABATI	ধর্মাবতী
DARMENDAR	ধর্মেন্দর
DARPANA	দর্পনা
DARQAWI	দারকোতী
DARRYL	ড্রেল
DARSHAN	দর্শণ
DARSI	দারসি
DART	ডার্ট
DARTS	ডার্টস
DARU	দারু
DARWIN	ডারউইন
DARYA	দরিয়া
DARYABAD	দারয়াবাদ
DARYL	ডারিল
DARYLL	ডারিল্ল
DAS	দাস
DASADA	দাসাদা
DASHARATHI	দাশরথি
DASHER	দশের
DASHMESH	দাশমেষ
DASPALLA	দাসপাল্লা
DASPUR	দাসপুর
DASSANAYAKE	দশানায়েক
DASUHA	দাসু্হা
DASUYA	দাসুয়া
DATA	ডেটা
DATAGANJ	দাতাগঞ্জ
DATIA	দাতিয়া
DATTA	দত্ত
DAUD	দাউদ
DAULAT	দৌলত
DAULATABAD	দৌলতাবাদ
DAUND	দাউন্দ
DAUPHIN	ডলফিন
DAURAI	দাউরাই
DAURALA	দাউরালা
DAURAM	দাউরাম
DAUSA	দাউসা
DAVANGERE	দাভানগীরী
DAVE	ডাভ
DAVID	ডাভিড
DAVIS	ডাভিস
DAWI	দায়ি
DAWSON	ডাসন
DAY	ডে
DAYA	দয়া
DAYALPUR	দয়ালপুর
DAYANAND	দয়ানন্দ
DAYLE	ডেল
DAYS	ডেইস
DAYTON	ডেটন
DAZAI	ডাজাই
DAZUR	ডজার
DE	ডি
DEABIA	দেএবিয়া
DEAKIN	ডেকিন
DEAN	ডিন
DEBA	দেবা
DEBABRATA	দেবব্রত
DEBAKI	দেবকী
DEBALINA	দেবলীনা
DEBANANDAN	দেবানন্দ
DEBANJALI	দেবাঞ্জলী
DEBANJANA	দেবাঞ্জনা
DEBANSU	দেবাংশু
DEBARI	দেবারি
DEBASHISH	দেবাশীষ
DEBASHREE	দেবশ্রী
DEBASIS	দেবাসিস
DEBASMITA	দেবস্মিতা
DEBCHANDRA	দেবচন্দ্র
DEBCHARAN	দেবচরন
DEBDAS	দেবদাস
DEBDATTA	দেবদত্তা
DEBDIP	দেবদীপ
DEBDULAL	দেবদুলাল
DEBDUTA	দেবদুত
DEBEN	দেবেন
DEBENDAR	দেবেন্দর
DEBENDRA	দেবেন্দ্র
DEBESH	দেবেশ
DEBI	দেবী
DEBIBALA	দেবীবালা
DEBIDAS	দেবিদাস
DEBIDASI	দেবীদাসী
DEBIKA	দেবিকা
DEBILAL	দেবিলাল
DEBIPADA	দেবীপদ
DEBIPRASAD	দেবীপ্রসাদ
DEBIPUR	দেবীপুর
DEBIRANI	দেবীরাণী
DEBISWAR	দেবীশ্বর
DEBJEYATI	দেবজ্য়োতি
DEBJIT	দেবজীত্
DEBKAMAL	দেবকমল
DEBKANTA	দেবকান্ত
DEBMITA	দেবমিতা
DEBNANDAN	দেবনন্দন
DEBNARAYAN	দেবনারাযণ
DEBOPAM	দেবোপম
DEBPRASAD	দেবপ্রসাদ
DEBPRIYA	দেবপ্রিযা
DEBRA	ডেবরা
DEBRAJ	দেবরাজ
DEBRANI	দেবরাণী
DEBTANU	দেবতনু
DEBU	দেবু
DEBUPRASAD	দেবুপ্রসাদ
DEBURANI	দেবুরানী
DECTRON	ড্রেকট্রন
DEDALO	দেডোলা
DEDIAPADA	দেদিয়াপাড়া
DEEG	ডিগ
DEEP	দীপ
DEERE	ডিরে
DEESA	দীসা
DEFREITAS	ডেফ্রেটস
DEGANA	দিগানা
DEGANGA	দেগঙ্গা
DEHLO	দেহলো
DEHRABAD	দেহরাবাদ
DEHRADUN	দেরাদুন
DEHRI	দেহরি
DEHU	দেহি
DEIGHTON	ডিগটোন
DEJI	ডেজি
DEKALB	ডেকলব
DEKAPAM	দেকাপাম
DEKKER	ডেকার
DELAWARE	ডেলওয়ারে
DELHAIZE	ডেলহাইজে
DELRAN	ডেলরাম
DELTA	ডেল্টা
DELUISE	ডেলুইসে
DELVADA	দেলভাদা
DEMI	ডেমি
DEMOCRATIE	ডেমোক্রেটিক
DEMU	দেমু
DENA	দেনা
DENCH	ডেঞ্চ
DENDULUR	দেন্দুলুর
DENESH	ডেনিশ
DENMAN	ডেনমান
DENNESS	ডেনিস
DENNIS	ডেনিস
DENSO	ডেন্সো
DENTAM	দেন্তাম
DENZEL	ডেনজেল
DEO	দেও
DEOBAND	দেওবন্দ
DEOGAN	দেওগাঁও
DEOGARH	দিওগড়
DEOGHAR	দেওঘর
DEOL	ডেওল
DEONARINE	ডেওনারিন
DEOPRAKASH	দেওপ্রকাশ
DEORAKOT	দেওরাকোট
DEORI	দেওরি
DEOTALAB	দেওতালাব
DEPALPUR	দেপালপুর
DEPALSAR	দেপালসর
DEPAUL	ডেপল
DEPAUW	ডেপাউই
DEPT	ডেপ্ট
DER	ডার
DERA	ডেরা
DERAPUR	দেরাপুর
DERBY	ডার্বি
DERGAON	দেরগাঁও
DERICK	ডেরিক
DERMATOLOGY	ডার্মাটোলজি
DERMOT	ডারমুট
DERYCK	ডেরিক
DES	দেস
DESAI	দেশাই
DESCARTES	ডেস্কার্টস
DESHABIMANI	দেশবিমানি
DESHALPAR	দেশালপার
DESHMUKH	দেশমুখ
DESHNOK	দেশনক
DESHONNATI	দেশোউন্নতি
DESIERTO	দেসিয়েরতো
DESOTO	ডেসোটো
DESURI	দেসুরি
DESWELL	ডেসওয়েল
DETROIT	ডেট্রোইট
DEUEL	দেউল
DEULKAR	দেউলকার
DEUSKAR	দেউসকার
DEUTCHES	ডিউটচেস
DEUTSCHE	ডাচেস
DEUTSCHLAND	ডেউচল্যান্ড
DEUX	ডেউক্স
DEV	দেভ
DEVANAHALLI	দেবানাহাল্লি
DEVASTATION	ডেভাস্টেশান
DEVASTATOR	ডেভাস্টেটর
DEVASTHALI	দেবস্থলী
DEVDHAR	দেবধর
DEVDHARKAR	দেবধরকার
DEVELOPERS	ডেভেলপারস
DEVELOPMENT	ডেভলপমেন্ট
DEVGAN	দেভগান
